addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N","지층",1,"20220902","정상운영","2022-11-04","실내","37.6238456044782","01158",131,"지층","+FUwulLM/41s9BkcrfsANTLZ0qaaNmLlVYyFpmnECew=","골프","강북구","미아동","01158","02-981-8207","127.027488129808","2023-02-03","신고","서울특별시","아크 골프 스튜디오","서울특별시 강북구 도봉로 168(미아동)","Y","가상체험 체육시설업","서울특별시 강북구 미아동 126-23 우성빌딩"
"서울특별시","N","B4-4 상암IT타워 지1층 B105~B107",2,"20090517","정상운영","2017-02-22","실내","","03922",133,"(상암동, 상암 IT Tower)","rJX/OPNn9NJ8B/XRX+AzjC5JPSAQ/uymIBkxNAehXKM=","골프","마포구","상암동","03922","02-6922-1800","","2023-04-05","신고","서울특별시","상암스크린골프존","서울특별시 마포구 월드컵북로 434 (상암동, 상암 IT Tower)","Y","가상체험 체육시설업","서울특별시 마포구 상암동 1590 B4-4 상암IT타워 지1층 B105~B107 "
"","N","2층",3,"20110916","정상운영","2016-11-07","실내","","",470,"2층 (지산동)","QHkZf19WU+uVd9xEqKAF5M52nLCcB6KoHGgN6RxeXmg=","골프","수성구","지산동","","053-768-0742","","2023-02-01","신고","대구광역시","K스크린골프","대구광역시 수성구 동대구로 30, 2층 (지산동)","Y","가상체험 체육시설업","대구광역시 수성구 지산동 1053 2층 "
"서울특별시","N","",4,"20190517","폐업","2019-06-13","없음","37.524686808249626","06014",575,"","NYBaR7FOwpMZmosJwiq95pEv0uh97IPd23dvXI2pHDQ=","골프","강남구","청담동","06014","","127.04008763871705","2023-04-26","신고","서울특별시","비온 골프스튜디오","서울특별시 강남구 선릉로 818 (청담동)","Y","가상체험 체육시설업","서울특별시 강남구 청담동 85-4 디자이너클럽"
"경기도","N","11층 1102호(창곡동513,에이플타워)",5,"20171213","폐업","2017-12-13","실내","37.473511344","13642",367,"","RLaq6Wz9EeR4r9ncuOQS/aWtL0jdYT+AHoYPC1JnJPY=","골프","성남시","창곡동","13642","","127.1500033396","2023-01-31","신고","경기도","골프존파크 위례랜드마크점","경기도 성남시 수정구 위례동로 153 (창곡동)","Y","가상체험 체육시설업",""
"부산광역시","N","4~5층",6,"20230227","정상운영","2023-02-28","실내","35.2129322022717","47719",1596,"4~5층","","골프","동래구","온천동","47719","051-555-3003","129.067961489739","2023-02-28","신고","부산광역시","JSM 스크린골프연습장","부산광역시 동래구 금정마을로 135-11(온천동)","Y","가상체험 체육시설업","부산광역시 동래구 온천동 871-95 제이에스엠빌딩"
"경기도","N","",7,"20220901","정상운영","2023-02-02","없음","37.5976709225482","10120",756,"","0jorNPhG6Ji7xEGKTsP5kKxG6OnzPKJv9BCRoUyx7S4=","골프","김포시","풍무동","10120","031-998-0755","126.721112263118","2023-02-02","신고","경기도","풍무프렌즈스크린","경기도 김포시 풍무로 20(풍무동)","Y","가상체험 체육시설업","경기도 김포시 풍무동 595"
"강원도","N","",8,"20210825","정상운영","2021-10-27","실내","","25821",495,"(단봉동)","FES1MGlbFOLzbY4+7TGxO+KHnTwtnsHVETXgO1MBUMA=","골프","동해시","","25821","033-521-2460","","2023-01-31","신고","강원도","㈜서도단봉골프랜드 스크린","강원도 동해시 강원남부로 4652 (단봉동)","Y","가상체험 체육시설업","강원도 동해시 단봉동 451-1 "
"경기도","N","지하4층 (이의동)",9,"20230424","정상운영","2023-04-26","실내","37.2866696524735","16508",856,"지하4층 (이의동)","","골프","수원시","이의동","16508","031-8064-2772","127.055448351197","2023-04-26","신고","경기도","에이알골프아카데미","경기도 수원시 영통구 도청로 10 (이의동)","Y","가상체험 체육시설업","경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티"
"인천광역시","Y","",10,"19999999","정상운영","2021-03-15","없음","37.5726341687106","22688","","","Tpw+X95nPOM0dfEOXyTEpv/vf3XNmggX2crawiQDhJU=","골프장","서구","백석동","22688","032-560-1727","126.649238082603","2023-02-14","공공","인천광역시","수도권매립지관리공사 드림파크CC","인천광역시 서구 거월로 61 (백석동)","N","골프장","인천광역시 서구 백석동 58 수도권매립지공사"
"인천광역시","N","MK타워",11,"20190225","정상운영","2019-07-15","실내","","22731",683,"MK타워 702~704,707~709호 (가정동)","q12I4NpWKc3iSAo/bwVQRbzvBUq1dNbn3utMioVXCSY=","골프","서구","가정동","22731","","","2023-02-14","신고","인천광역시","골프존 파크 가정 루원시티점","인천광역시 서구 봉오재3로94번길 11, MK타워 702~704,707~709호 (가정동)","Y","가상체험 체육시설업","인천광역시 서구 가정동 618-5 MK타워 "
"경기도","N","204호 (상동, 상록그린힐빌딩)",12,"20161205","정상운영","2016-12-05","실내","37.5061078369","14542",258,"","97hmfV3tjwhPPkRlMmMH+BcxIIXCtIKvkHZjD1LXVKE=","골프","부천시","상동","14542","032-329-0718","126.7576791504","2023-02-28","신고","경기도","스타골프존","경기도 부천시 길주로 137 (상동)","Y","가상체험 체육시설업","경기도 부천시 상동  538-4 상록그린힐빌딩"
"광주광역시","N","2,3층",13,"20230210","정상운영","2023-02-14","없음","35.207292660037","61085",998,"2,3층","","골프","북구","신용동","61085","062-575-5440","126.864858949387","2023-02-14","신고","광주광역시","골프존 파크 신용DS점","광주광역시 북구 첨단연신로108번길 4(신용동)","Y","가상체험 체육시설업","광주광역시 북구 신용동 859"
"대전광역시","N","3층",14,"20220118","정상운영","2023-02-14","없음","36.3279967840727","34521",409,"3층","","골프","동구","용운동","34521","042-286-9995","127.466215034058","2023-02-14","신고","대전광역시","용운 탑스크린 골프","대전광역시 동구 동부로 167(용운동)","Y","가상체험 체육시설업","대전광역시 동구 용운동 274-2"
"대전광역시","N","2층",15,"20220413","정상운영","2023-02-14","실내","36.3294023319073","34604",720,"2층","","골프","동구","대동","34604","042-623-1708","127.441806693434","2023-02-14","신고","대전광역시","JK골프존파크GDR","대전광역시 동구 동대전로 67(대동)","Y","가상체험 체육시설업","대전광역시 동구 대동 160-1 롯데마트 동대전점"
"대전광역시","N","201호, 301호",16,"20220425","정상운영","2023-02-14","실내","36.3457188868356","34558",1567,"201호, 301호","","골프","동구","홍도동","34558","042-623-5411","127.429353023349","2023-02-14","신고","대전광역시","(주)골프존파크 홍도야스크린점","대전광역시 동구 동서대로 1605(홍도동)","Y","가상체험 체육시설업","대전광역시 동구 홍도동 64-4 경성빌딩"
"경기도","N","",17,"20230102","정상운영","2023-04-02","없음","37.5758909759561","12902",319,"","","골프","하남시","망월동","12902","031-792-0688","127.193974778169","2023-04-02","신고","경기도","밥스 골프 아카데미","경기도 하남시 미사강변한강로 155 (망월동)","Y","가상체험 체육시설업","경기도 하남시 망월동 834-2 미사강변 SK V1 center"
"경기도","N","",18,"20221230","정상운영","2023-02-14","없음","37.24935058758","16655",391,"","","골프","수원시","세류동","16655","031-309-0202","127.012297880412","2023-02-14","신고","경기도","프렌즈스크린골프 수원정조로점","경기도 수원시 권선구 정조로 447(세류동)","Y","가상체험 체육시설업","경기도 수원시 권선구 세류동 587"
"경기도","N","",19,"20230118","정상운영","2023-02-14","없음","37.2549941096571","16633",674,"","","골프","수원시","고색동","16633","031-292-5200","126.971175091188","2023-02-14","신고","경기도","프렌즈스크린골프 권선구청점","경기도 수원시 권선구 호매실로 21-12(고색동)","Y","가상체험 체육시설업","경기도 수원시 권선구 고색동 1178-1"
"대전광역시","N","",20,"20220713","정상운영","2023-03-15","없음","36.3441624093757","35261",298,"","","골프","서구","탄방동","35261","042-489-9566","127.382856513488","2023-03-15","신고","대전광역시","골프존파크 탄방점","대전광역시 서구 문정로10번길 40(탄방동)","Y","가상체험 체육시설업","대전광역시 서구 탄방동 629 띠울타워"
