addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N","SJ테크노빌 B108,B109호",1,"20230328","정상운영","2023-05-04","없음","37.4794931161957","08511",198,"SJ테크노빌 B108,B109호","권투","금천구","가산동","08511","126.884634912937","2023-05-04","신고","서울특별시","엑스퍼트짐 가산점","서울특별시 금천구 벚꽃로 278 (가산동)","Y","체육도장업","서울특별시 금천구 가산동 60-19 SJ테크노빌"
"경기도","N","401호",2,"20110323","정상운영","2023-04-05","없음","37.3599999763585","15865",208,"401호","권투","군포시","산본동","15865","126.930595769157","2023-04-06","신고","경기도","산본미래권투","경기도 군포시 산본로343번길 21 (산본동)","Y","체육도장업","경기도 군포시 산본동 1137 동화프라자"
"경기도","N","",3,"20221223","정상운영","2023-02-14","없음","37.2419651763143","16670",133,"","권투","수원시","곡반정동","16670","127.029954188797","2023-02-14","신고","경기도","팀 챌린지","경기도 수원시 권선구 동수원로146번길 293(곡반정동)","Y","체육도장업","경기도 수원시 권선구 곡반정동 539-4"
"","N","4층",4,"20161227","폐업","2016-12-27","실내","37.399124177","13992",224,"","권투","안양시","안양동","13992","126.9215352946","2023-02-14","신고","경기도","안양미래권투체육관","경기도 안양시 만안구 안양로 300 (안양동)","Y","체육도장업",""
"경기도","N","5,6층",5,"20171108","정상운영","2023-02-06","실내","","11712",487,"5.6층 (호원동)","권투","의정부시","호원동","11712","","2023-02-07","신고","경기도","다올짐 호원점","경기도 의정부시 평화로 174, 5.6층 (호원동)","Y","체육도장업","경기도 의정부시 호원동 463-18 5,6층 "
"경기도","N","3층",6,"20170518","정상운영","2023-02-06","실내","37.7433897057484","11740",232,"3층","권투","의정부시","신곡동","11740","127.057487926478","2023-02-07","신고","경기도","원투체육관","경기도 의정부시 추동로19번길 9-5(신곡동)","Y","체육도장업","경기도 의정부시 신곡동 673-2"
"","N","에이스프라자",7,"20161231","정상운영","2016-12-31","실내","","10073",221,"에이스프라자 3층 305,306,307호 (운양동)","권투","김포시","운양동","10073","","2023-04-26","신고","경기도","THE BOXING","경기도 김포시 김포한강11로 288-31, 에이스프라자 3층 305,306,307호 (운양동)","Y","체육도장업","경기도 김포시 운양동 1296-9 에이스프라자 "
"경기도","N","",8,"20220801","정상운영","2023-02-02","없음","","10059",130,"일부","권투","김포시","양곡리","10059","","2023-03-31","신고","경기도","HHIM 힘 복싱스쿨","경기도 김포시 양촌읍 양곡4로 100-24, 일부","Y","체육도장업","경기도 김포시 양촌읍 양곡리 368-5 "
"경기도","N","",9,"20230131","정상운영","2023-02-14","없음","37.3978182161607","12792",198,"","권투","광주시","쌍령동","12792","127.275968994846","2023-02-14","신고","경기도","파크짐","경기도 광주시 경충대로1422번길 11-3(쌍령동)","Y","체육도장업","경기도 광주시 쌍령동 347-15"
"","N","",10,"20080227","정상운영","2016-11-07","실내","35.8189517556","42221",247,"지하 1층 (지산동)","권투","수성구","","42221","128.6338058409","2023-02-01","신고","대구광역시","서부복싱","대구광역시 수성구 용학로46길 41, 지하 1층 (지산동)","Y","체육도장업","대구광역시 수성구 지산동 1206-7 "
