addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","1층",1,"20220506","정상운영","2022-05-12","실내","37.3291131212365","16812",274,"1층","2Zoheqh8WUlJpfQHeDhvfYHwRpCbshO4BBAX/0KfWI8=","농구","용인시","신봉동","용인시","16812","031-266-5779","127.071832296201","2023-01-31","신고","경기도","제이비스포츠","경기도 용인시 수지구 신봉2로 94-6(신봉동)","Y","체육교습업","경기도 용인시 수지구 신봉동 942-1"
"경기도","N","",2,"20220707","정상운영","2023-01-26","없음","0","16804",300,"1층 (성복동)","5VMSjSJEod0L5ub6eTxTWwFFNHMH+6qlWDN0s136UlI=","농구","용인시","","용인시","16804","031-0000-0000","0","2023-01-31","신고","경기도","마스터욱","경기도 용인시 수지구 성복2로 369(성복동)","Y","체육교습업","경기도 용인시 수지구 성복동 628-13"
"대구광역시","N","4층",3,"20211020","정상운영","2021-11-08","실내","35.9432935528133","41422",140,"4층","gjtZOomguZipfjW1Y6bDFagXITT8NLT4zvMwLMR00NE=","농구","북구","동천동","북구","41422","070-4320-1311","128.555376297667","2023-02-14","신고","대구광역시","더퍼스트스포츠에듀케이션","대구광역시 북구 동천로23길 50(동천동)","Y","체육교습업","대구광역시 북구 동천동 969-6"
"대전광역시","N","",4,"20230207","정상운영","2023-03-15","없음","36.3466815986559","35253",607,"","","농구","서구","탄방동","서구","35253","042-533-4747","127.401274283416","2023-03-15","신고","대전광역시","천마스포츠센터","대전광역시 서구 유등로669번길 1(탄방동)","Y","체육교습업","대전광역시 서구 탄방동 1478-3"
"경기도","N","",5,"20220719","정상운영","2023-02-02","없음","37.5949781520072","10131",499,"","M2MOW6mCG0E+/SmS3GH15NRfmJptJt5BoTmwT2fRZUQ=","농구","김포시","태리","김포시","10131","","126.750886483723","2023-02-02","신고","경기도","코리아농구교실","경기도 김포시 고촌읍 태리로190번길 80-18","Y","체육교습업","경기도 김포시 고촌읍 태리 134-1"
"경기도","N","",6,"20230119","정상운영","2023-02-01","없음","37.6666625450679","10053",440,"","zHj7NJt+ccisnH3YGDw4fit/q1kxnN066TjelXbRlVA=","농구","김포시","누산리","김포시","10053","031-988-5947","126.65802295513","2023-02-01","신고","경기도","코리아농구교실 김포1지점","경기도 김포시 양촌읍 누산로 54","Y","체육교습업","경기도 김포시 양촌읍 누산리 173"
"경기도","N","",7,"20210329","정상운영","2021-12-31","없음","37.7323599767064","10895",359,"6층 601호 (와동동)","TTo8Jka+pIqQWJ4ytg9URau/XMUxY23Ye2VbP5Msr+Q=","농구","파주시","","파주시","10895","031-948-9919","126.751622505969","2023-02-28","신고","경기도","라이킷스포츠아카데미","경기도 파주시 미래로602번길 43(와동동)","Y","체육교습업","경기도 파주시 와동동 1302-2"
"부산광역시","N","오산교회 3,4층 (중동)",8,"20220525","정상운영","2022-10-26","없음","35.1621537307729","48105",407,"오산교회 3,4층 (중동)","eQYYPDf3klY4XzqnncO58UBocLRnDcs/aSUgGdCYNIw=","농구","해운대구","중동","해운대구","48105","","129.175219995803","2023-01-28","신고","부산광역시","THE GRIT(더 그릿)","부산광역시 해운대구 좌동순환로 414(중동)","Y","체육교습업","부산광역시 해운대구 중동 904-1 오산교회"
"경상북도","N","",9,"20221014","정상운영","2023-02-07","없음","0","37159",12147,"(계산동)","","농구","상주시","","상주시","37159","054-534-0788","0","2023-02-07","신고","경상북도","상주삼백농구스포츠클럽","경상북도 상주시 북상주로 24-7(계산동)","Y","체육교습업","경상북도 상주시 계산동 474-1 상주시민운동장"
"경기도","N","1층",10,"20230310","정상운영","2023-04-04","없음","37.6310205930406","10433",393,"1층","","농구","고양시","백석동","고양시 일산동구","10433","","126.786208144932","2023-04-04","신고","경기도","GPNB","경기도 고양시 일산동구 장항로 73-3 (백석동)","Y","체육교습업","경기도 고양시 일산동구 백석동 1115-4"
