addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"강원도","N","(단계동)",1,"20210323","정상운영","2021-05-31","없음","37.3582695632345","26408",495,"(단계동)","sUFTRxGlgCH0UH4L5jy2Ir63xmQV9ID3eiQwwJ5kHqI=","배드민턴","원주시","단계동","원주시","26408","127.932196314195","2023-03-03","신고","강원도","원주배드민턴체육관","강원도 원주시 원문로118번길 41 (단계동)","Y","체육교습업","강원도 원주시 단계동 105-7"
"부산광역시","N","부산과학기술대학교",2,"20210625","정상운영","2021-10-18","없음","35.1941945073743","46639",1140,"부산과학기술대학교 J동 1층 (구포동)","zdBXa2lc0QT//iCZ24lr9CRinl7P/vXOsCB/iVMlBak=","배드민턴","북구","","북구","46639","129.005303108413","2023-03-01","신고","부산광역시","북구 배드민턴","부산광역시 북구 시랑로132번길 88(구포동)","Y","체육교습업","부산광역시 북구 구포동 870 부산과학기술대학교"
"경기도","N","롯데몰 2층",3,"20221111","정상운영","2023-03-19","없음","37.4243110028905","14352",264,"롯데몰 2층","","배드민턴","광명시","일직동","광명시","14352","126.882779952497","2023-03-19","신고","경기도","윌리짐","경기도 광명시 일직로 17(일직동)","Y","체육교습업","경기도 광명시 일직동 500 이케아광명점,롯데아울렛"
"충청남도","N","",4,"20230130","정상운영","2023-02-22","실내외","0","31457",196,"","","배드민턴","아산시","","아산시","31457","0","2023-02-22","신고","충청남도","스타플레이12 탕정점","충청남도 아산시 탕정면 탕정면로 141-13","Y","체육교습업","충청남도 아산시 탕정면 갈산리 57-8"
"경기도","N","1층",5,"20221201","정상운영","2023-02-09","없음","36.9934734589197","17562",496,"1층","","배드민턴","안성시","승두리","안성시","17562","127.173394725486","2023-02-09","신고","경기도","배드민턴 매니아 전용구장","경기도 안성시 공도읍 효자비길 46","Y","체육교습업","경기도 안성시 공도읍 승두리 29-9"
"대구광역시","N","",6,"","정상운영","2021-12-24","없음","0","42974",429,"","Ks2g9Ogfwnnp11O3B/L/NHtsUElRbCL1TMqtvERdA3o=","배드민턴","달성군","","달성군","","0","2023-05-12","신고","대구광역시","콕콕배드민턴전용구장","대구광역시 달성군 옥포읍 강림2길 15-2","Y","체육교습업","대구광역시 달성군 옥포읍 강림리 579"
"대전광역시","N","",7,"20211224","정상운영","2021-12-27","없음","0","34711",398,"1층 (대별동)","FzZgNC6S/GorqFWbTW2mJVhCJDdldKUBUG2PsHgosDw=","배드민턴","동구","","동구","34711","0","2023-05-05","신고","대전광역시","스카이 유소년 스포츠센터","대전광역시 동구 산서로 1613(대별동)","Y","체육교습업","대전광역시 동구 대별동 124-1"
"강원도","N","",8,"20211123","정상운영","2022-04-29","실내","0","26468",679,"(관설동)","Y1v7ff3hWoovT+qYkw70UZ5voxRcvSbFsA1JV4cE0fA=","배드민턴","원주시","","원주시","26468","0","2023-04-15","신고","강원도","케이런 스포츠 무역","강원도 원주시 섭재삼보길 71(관설동)","Y","체육교습업","강원도 원주시 관설동 484"
"경기도","N","",9,"20220526","정상운영","2023-04-17","없음","37.1148187159745","18628",489,"","","배드민턴","화성시","","화성시","18628","126.980922200821","2023-04-19","신고","경기도","어라운드스포츠","경기도 화성시 양감면 초록로 720-9","Y","체육교습업","경기도 화성시 양감면 송산리 307-16"
"세종특별자치시","N","",10,"20220520","정상운영","2023-02-09","실내","36.5361875596668","30057",198,"","","배드민턴","세종시","수산리","세종시","30057","127.233717305401","2023-05-10","신고","세종특별자치시","키움운동발달센터(골든샤크)","세종특별자치시 연기면 조뱅이길 76-19","Y","체육교습업","세종특별자치시 연기면 수산리 90-2"
