addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N","제1상가동 지하층 101호",1,"20200803","정상운영","자체운영        ","2020-08-05","실내","37.651013241323","01713",542,"제1상가동 지하층 101호","VJSnWsiTVCSTX6HY16UCj9H8ysZvyWaYBRS/UDYf2/Q=","실내","노원구","중계동","노원구","01713","02-6952-3944","127.075047935811","2023-05-09","신고","서울특별시","타잔 B&G 어린이 수영장","서울특별시 노원구 중계로 230 (중계동, 중계5단지주공아파트)","N","수영장업","서울특별시 노원구 중계동 359-1 중계5단지주공아파트"
"대구광역시","N","달서아트센터 수영장",2,"19999999","정상운영","위탁운영        ","2016-12-31","실내","35.8434223614114","42699",495,"","JTGzhP8sVewwf+hvtbwS0ySXybO5ojQYNaDNiauCiVY=","수영장","달서구","장기동","달서구","42699","053-584-8714","128.522826252636","2023-02-14","공공","대구광역시","달서아트센터수영장","대구광역시 달서구 문화회관길 160(장기동)","N","수영장","대구광역시 달서구 장기동 722-1 달서아트센터"
"인천광역시","N","",3,"19999999","정상운영","위탁운영        ","2016-12-31","실내","36.49787652957536","21686",9447,"","Jl8Ey2oQFXjPi8ocVzbyWEk2hUpSyiA6grzPWQ6g5nI=","수영장","남동구","고잔동","남동구","21686","032-453-6280","127.26543401552541","2023-03-15","공공","인천광역시","남동수영장","인천광역시 남동구 논현고잔로 173(고잔동)","N","수영장","인천광역시 남동구 고잔동 975-1"
"경기도","N","",4,"20190805","폐업","자체운영        ","2019-08-06","실내","37.30986746144267","16926",322,"자람유치원 지하층 (보정동)","DegXqKcLlhRsrzv3ZZ3jtJF8BPzmIfa+8YSOSs9t204=","실내","용인시","보정동","용인시","16926","","127.09886611898368","2023-02-28","신고","경기도","돌고래스포츠","경기도 용인시 기흥구 이현로30번길 17-3 (보정동)","N","수영장업","경기도 용인시 기흥구 보정동 465-4 자람유치원"
"경기도","N","여성비전센터",5,"19999999","정상운영","자체운영        ","2023-02-14","실내","37.434789888757","14327","","여성비전센터","","수영장","광명시","소하동","광명시","14327","02-2610-2020","126.880149443933","2023-02-14","공공","경기도","여성비전센터수영장","경기도 광명시 오리로366번길 6(소하동)","N","수영장","경기도 광명시 소하동 1267 광명시여성비전센터"
"서울특별시","N","",6,"19999999","정상운영","위탁운영        ","2023-02-03","없음","37.6176385623058","02764","","","yaHBVJVFd6q1FtaJI9LsIKftZlBuRLtsjGomO53L8fY=","수영장","","장위동","성북구","02764","02-3292-1318","127.055732165789","2023-02-03","공공","서울특별시","성북청소년센터수영장","서울특별시 성북구 한천로 660-9(장위동)","N","수영장","서울특별시 성북구 장위동 135-2 성북청소년수련관"
"서울특별시","N","",7,"20161231","정상운영","자체운영        ","2016-12-31","실내","37.6409894263","01036",621,"","CNqEVXFTAP6TfvLvVXQrvye1Ca5y6oI2t+Coxx4Yr1w=","수영장","강북구","수유동","강북구","01036","02-901-6226","127.0138773512","2023-02-06","공공","서울특별시","삼각산문화예술회관수영장(구.강북구민회관수영장)","서울특별시 강북구 삼각산로 85 (수유동)","N","수영장","서울특별시 강북구 수유동 360-10 강북문화예술회관"
"광주광역시","N"," ",8,"19999999","정상운영","자체운영        ","2023-02-03","없음","35.1522186826516","61953",""," ","FSIe+p3M4uLNyIaaDE+h2wzhc61dfTpQgNlV8HIaKic=","수영장","서구","치평동","서구","","-","126.842220211165","2023-03-13","공공","광주광역시","(취약시설)일가정양립지원본부 실내수영장","광주광역시 서구 상무자유로 73(치평동)","N","수영장","광주광역시 서구 치평동 1162 광주여성발전센터"
"경기도","N","그린홈프라자",9,"20160713","정상운영","자체운영        ","2019-04-30","실내","","14697",449,"그린홈프라자 지층 101호 (괴안동)","OOn/AR7m8oWjkvsgTxmEo7nUVSDr04B6QuBaS5UnuzQ=","실내","부천시","괴안동","부천시","14697","032-345-9223","","2023-04-07","신고","경기도","아쿠아마린키즈스윔(소사점)","경기도 부천시 범안로 54, 그린홈프라자 지층 101호 (괴안동)","N","수영장업","경기도 부천시 괴안동 86-4 그린홈프라자 "
"충청남도","N","",10,"20151029","정상운영","자체운영        ","2016-12-31","실내","36.4536856820597","33339",2879,"","4iQN8YMQ8vVcBsquuGa7lx0i73v+q1WYH0WgIY8CYl0=","수영장","청양군","송방리","청양군","33339","0419404881","126.794613798275","2023-03-15","공공","충청남도","청양국민체육센터수영장","충청남도 청양군 청양읍 충절로 1204","N","수영장","충청남도 청양군 청양읍 송방리 371 체육관"
