addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"대구광역시","N",1,"20220608","정상운영","2023-02-14","없음","35.8235780848066","42757",330,"인공암벽장","달서구","월성동","달서구","42757","053-245-9190","128.52731876935","2023-02-14","신고","대구광역시","초크업 클라이밍 월성점","대구광역시 달서구 상원로 184-8(월성동)","N","인공암벽장업","대구광역시 달서구 월성동 1217-1"
"대전광역시","N",2,"20220615","정상운영","2023-03-15","없음","36.3394934613318","35290",368,"인공암벽장","서구","괴정동","서구","35290","","127.375141091834","2023-03-15","신고","대전광역시","대전 클라이밍 센터","대전광역시 서구 갈마로 163(괴정동)","Y","인공암벽장업","대전광역시 서구 괴정동 128-9"
"경기도","N",3,"20211108","정상운영","2022-07-05","없음","37.2767185190462","16484",0,"인공암벽장","수원시","인계동","수원시 팔달구","16484","031-8001-8898","127.030889611122","2023-02-07","신고","경기도","킹콩클라이밍","경기도 수원시 팔달구 경수대로 572(인계동)","N","인공암벽장업","경기도 수원시 팔달구 인계동 942"
"경기도","N",4,"20220207","정상운영","2022-07-05","없음","37.2881379117089","16234",0,"인공암벽장","수원시","우만동","수원시","16234","031-8025-2016","127.030617198323","2023-02-07","신고","경기도","수원클라이밍센터","경기도 수원시 팔달구 월드컵로357번길 23-18(우만동)","N","인공암벽장업","경기도 수원시 팔달구 우만동 483-5 송희아트"
"광주광역시","N",5,"20221129","정상운영","2023-02-14","없음","0","61263",129,"인공암벽장","북구","","북구","61263","062-514-5325","0","2023-02-14","신고","광주광역시","광주실내암벽","광주광역시 북구 하남대로 828-1(운암동)","N","인공암벽장업","광주광역시 북구 운암동 1597"
"전라남도","N",6,"20120206","정상운영","2016-12-31","","","",537,"인공암벽장","목포시","","목포시","","061-273-8848","","2023-04-04","공공","전라남도","부주산국제스포츠클라이밍센터","","N","인공암벽장업",""
"전라북도","N",7,"20161107","정상운영","2016-11-07","실내외","35.97953526004626","54016",322,"인공암벽장","군산시","소룡동","군산시","54016","","126.68771592865461","2023-04-04","공공","전라북도","인공암벽장","전라북도 군산시 솔꼬지1길 46 (소룡동)","N","인공암벽장업","전라북도 군산시 소룡동  1071-3 군산시민공암장"
"부산광역시","N",8,"20161231","정상운영","2016-12-31","실내외","35.2109792097","",661,"인공암벽장","금정구","","금정구","","","129.088867661","2023-04-04","공공","부산광역시","인공암벽장","","N","인공암벽장업","명륜동 146"
"경기도","N",9,"20220414","폐업","2022-05-18","실내","37.3387632362338","15874",125,"인공암벽장","군포시","부곡동","군포시","15874","031-390-7711","126.936480446124","2023-03-01","신고","경기도","군포국민체육센터 실내암벽장","경기도 군포시 군포로 339(부곡동)","N","인공암벽장업","경기도 군포시 부곡동 1226 군포국민체육센터"
"경상북도","N",10,"20200708","정상운영","2023-02-05","실외","36.1396940245899","39524","","인공암벽장","김천시","삼락동","김천시","39524","054-420-7925","128.086502039383","2023-03-12","공공","경상북도","김천인공암벽장","경상북도 김천시 운동장길 1(삼락동)","N","인공암벽장업","경상북도 김천시 삼락동 488-1 김천종합스포츠타운"
"광주광역시","N",11,"20180626","정상운영","2018-06-26","실외","35.15618338360111","61953","","인공암벽장","서구","치평동","서구","61953","062-371-3310","126.83932563950039","2023-04-04","공공","광주광역시","상무 인공암벽장","광주광역시 서구 상무시민로 3 (치평동)","N","인공암벽장업","광주광역시 서구 치평동 1163-2 세계광엑스포주제관"
"서울특별시","N",12,"20230126","정상운영","2023-02-15","실내","37.6151331460647","02027",143,"인공암벽장","중랑구","신내동","중랑구","02027","02-3423-3423","127.093770032768","2023-02-15","신고","서울특별시","몽키즈 클라이밍","서울특별시 중랑구 신내로17길 39(신내동)","Y","인공암벽장업","서울특별시 중랑구 신내동 654 진로아파트"
"울산광역시","N",13,"20120429","정상운영","2016-11-07","실내외","35.5168993527","44772",588,"인공암벽장","남구","선암동","남구","44772","052-2264-851","129.3224891914","2023-04-04","공공","울산광역시","선암인공암벽장","울산광역시 남구 선암호수길 104 (선암동)","N","인공암벽장업","울산광역시 남구 선암동 476-2"
"경기도","N",14,"20170720","정상운영","2019-01-10","실내외","37.5025669833","14655","","인공암벽장","부천시","춘의동","부천시","14655","032-340-0868","126.7990239232","2023-04-04","공공","경기도","부천종합운동장 인공암벽장","경기도 부천시 소사로 482 (춘의동)","N","인공암벽장업","경기도 부천시 춘의동 8 부천종합운동장,국궁장,체육관"
"경기도","N",15,"20220209","정상운영","2022-05-12","실내","37.4882097356069","14625",299,"인공암벽장","부천시","상동","부천시","14625","","126.763544785386","2023-04-04","신고","경기도","부천클라이밍센터","경기도 부천시 부일로 300(상동)","N","인공암벽장업","경기도 부천시 상동 326-15"
"경기도","N",16,"19999999","정상운영","2016-12-31","실내","37.1586949219285","18131",26167,"인공암벽장","오산시","오산동","오산시","18131","031-8036-7962","127.075655140162","2023-04-28","공공","경기도","오산스포츠센터인공암벽장","경기도 오산시 경기동로 33 (오산동)","N","인공암벽장업","경기도 오산시 오산동 40 오산스포츠센터"
"경기도","N",17,"20161231","정상운영","2016-12-31","실내외","37.6799839059","10226",132,"인공암벽장","고양시","대화동","고양시 일산서구","10226","","126.7404822313","2023-04-04","공공","경기도","인공암벽등반경기장","경기도 고양시 일산서구 중앙로 1601 (대화동)","N","인공암벽장업",""
"경기도","N",18,"19990101","정상운영","2021-12-20","실외","37.2037558152351","18436","","인공암벽장","화성시","반송동","화성시","18436","031-5189-6273","127.061210202073","2023-04-04","공공","경기도","센트럴파크 인공암벽장","경기도 화성시 동탄공원로1길 26-23(반송동)","N","인공암벽장업","경기도 화성시 반송동 59"
"강원도","N",19,"20121227","정상운영","2016-12-31","실내외","37.709103251667806","25126",183,"인공암벽장","홍천군","태학리","홍천군","25126","033-430-2453","127.90617732593398","2023-04-04","공공","강원도","홍천스포츠클라이밍센터","강원도 홍천군 홍천읍 태학여내길 31-1","N","인공암벽장업","강원도 홍천군 홍천읍 태학리 145-12"
"충청남도","N",20,"20200207","정상운영","2020-02-07","실외","36.77261030321706","31564","","인공암벽장","아산시","방축동","아산시","31564","041-540-2396","126.98313993126169","2023-04-04","공공","충청남도","신정호 인공암벽장","충청남도 아산시 신정로 616 (방축동)","N","인공암벽장업","충청남도 아산시 방축동 5 신정호공원"
"전라북도","N",21,"20150915","정상운영","2016-11-07","실내","35.4308675183","55732",198,"인공암벽장","남원시","월락동","남원시","55732","063-620-5621","127.405460727","2023-04-04","공공","전라북도","인공암벽장","전라북도 남원시 충정로 341 (월락동)","N","인공암벽장업","전라북도 남원시 월락동  248 춘향골체육공원"
"경상북도","N",22,"20071231","정상운영","2019-12-13","실외","35.86479557511034","38116","","인공암벽장","경주시","손곡동","경주시","38116","054-750-8570","129.2812981730557","2023-04-04","공공","경상북도","경주베이스볼파크 인공암벽장","경상북도 경주시 천북남로 357 (손곡동)","N","인공암벽장업","경상북도 경주시 손곡동 519-1"
"경상북도","N",23,"20181114","정상운영","2018-11-14","실외","37.4825788353","40226","","인공암벽장","울릉군","도동리","울릉군","40226","","130.9011591757","2023-04-04","공공","경상북도","인공암벽장","경상북도 울릉군 울릉읍 약수터길 71","N","인공암벽장업","경상북도 울릉군 울릉읍 도동리 584-8"
"경상남도","N",24,"20040401","정상운영","2016-12-31","실내외","34.9431891112","52550",317,"인공암벽장","사천시","용강동","사천시","52550","055-831-2407","128.0875687422","2023-04-04","공공","경상남도","인공암벽장","경상남도 사천시 주공로 32-1 (용강동)","N","인공암벽장업",""
"경상남도","N",25,"20140901","정상운영","2016-12-31","실내","35.0903910645","52516",132,"인공암벽장","사천시","정의리","사천시","52516","055-831-3347","128.0958490241","2023-04-04","공공","경상남도","실내인공암벽장","경상남도 사천시 사천읍 구암두문로 85","N","인공암벽장업",""
"경상남도","N",26,"20161231","정상운영","2016-12-31","실외","34.8827338757","53257","","인공암벽장","거제시","고현동","거제시","53257","055-6398-130","128.6163076982","2023-04-04","공공","경상남도","인공암벽장","경상남도 거제시 계룡로11길 35 (고현동)","N","인공암벽장업","경상남도 거제시 고현동 910 거제시체육관"
"경상남도","N",27,"20161231","정상운영","2016-12-31","실외","35.40912233785029","666805",95,"인공암벽장","산청군","옥산리","산청군","","055-970-6433","127.87308709003922","2023-04-04","공공","경상남도","인공암벽장","","N","인공암벽장업","경남 산청군 산청읍 옥산리 725"
"제주특별자치도","N",28,"19990101","정상운영","2022-04-04","실외","33.4950621500521","63189","","인공암벽장","","오라일동","제주시","63189","064-759-0848","126.518797458105","2023-04-04","공공","제주특별자치도","인공암벽장","제주특별자치도 제주시 서광로2길 24(오라일동)","N","인공암벽장업","제주특별자치도 제주시 오라일동 1165"
"전라북도","N",29,"20161231","정상운영","2016-12-31","실내외","","",330,"인공암벽장","익산시","","익산시","","","","2023-04-04","공공","전라북도","인공암벽장","","N","인공암벽장업",""
