addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N","대한체육회 체육회관",1,"19980319","정상운영","자체운영        ","2016-12-31","없음","04522",508,"대한체육회 체육회관 (무교동)","9J8K7eru5wnu0FQ/qbliba/YkH+Q8vNCzK0B+gfn5T0=","체력단련장","중구","무교동","중구","04522","19980319","2023-03-15","신고","서울특별시","센트럴 피트니스","서울특별시 중구 무교로 16, 대한체육회 체육회관 (무교동)","Y","체력단련장업","서울특별시 중구 무교동 19 대한체육회 체육회관 "
"서울특별시","N","미성아파트 상가 지층",2,"20121204","정상운영","자체운영        ","2016-12-31","실내","03356","","(불광동, 미성아파트)","ebD8DnssHRPq0fD0PkYLAi6GNjHzFL48d9yIsyGTQN4=","체력단련장","은평구","불광동","은평구","03356","20121204","2023-02-28","신고","서울특별시","랜드짐","서울특별시 은평구 통일로 780 (불광동, 미성아파트)","Y","체력단련장업","서울특별시 은평구 불광동 248 미성아파트 상가 지층 "
"","N","",3,"20161231","정상운영","자체운영        ","2016-12-31","실내","02026",255,"","VgsrxqxOLXyJyS9DVjDYnXftNvRePXyoK2z1yBbxlcA=","체력단련장","중랑구","신내동","","02026","20130828","2023-05-05","신고","서울특별시","신내헬스","서울특별시 중랑구 신내로 127 (신내동, 신내9단지신내아파트)","Y","체력단련장업","서울특별시 중랑구 신내동 657 신내9단지신내아파트"
"인천광역시","N","지하1층",4,"20210302","폐업","","2021-03-03","실내","21387",397,"지하1층","oUqrachCV+C5L+LqTi0wirZqms9FSugSprkr/DZbHTI=","체력단련장","부평구","부평동","","21387","","2023-02-03","신고","인천광역시","핏24 부평모다점","인천광역시 부평구 부평문화로 35 (부평동)","Y","체력단련장업","인천광역시 부평구 부평동 70-127 모다백화점"
"서울특별시","N","",5,"20140228","정상운영","자체운영        ","2016-12-31","실내","02748",409,"","+Ji8CJzD6WB3c7mDwEyCBIlrl8ri37OMPCkSFQa+eBY=","체력단련장","성북구","하월곡동","성북구","02748","20150106","2023-05-03","신고","서울특별시","워너비 짐","서울특별시 성북구 장월로1길 106 (하월곡동)","Y","체력단련장업","서울특별시 성북구 하월곡동 20-4"
"서울특별시","N","",6,"20210217","정상운영","","2021-03-15","실내","06120",293,"3층","HdGwpIi83665yANRPiQWSlkAz6TZOQ3mGvU+Hji/oGc=","체력단련장","강남구","논현동","강남구","06120","","2023-03-15","신고","서울특별시","펀짐","서울특별시 강남구 봉은사로1길 8 (논현동)","Y","체력단련장업","서울특별시 강남구 논현동 198-22"
"경기도","N","텐폴드프라자 3층 301, 302, 303호 (장항동)",7,"20220204","정상운영","","2023-02-03","실내","10364",366,"텐폴드프라자 3층 301, 302, 303호 (장항동)","eBkusdys7KvPjNYK7x9fCRkCJCuVWE3g9dXUmrIaC+w=","체력단련장","고양시","장항동","고양시","10364","","2023-02-04","신고","경기도","업투 라페스타점","경기도 고양시 일산동구 무궁화로 31-1(장항동)","Y","체력단련장업","경기도 고양시 일산동구 장항동 735-3 텐폴드프라자"
"경기도","N","다운타운빌딩",8,"20171031","정상운영","","2020-05-08","없음","14072",222,"다운타운빌딩 401호 (호계동)","cgDUWipdYX/vEYkQXyZL8Mx9NnkWtnboRlUGUN+MYOw=","체력단련장","안양시","관양동","안양시","14072","","2023-01-28","신고","경기도","시너제틱스 by 움직임 S-FIT 범계센터","경기도 안양시 동안구 시민대로 214, 다운타운빌딩 401호 (호계동)","Y","체력단련장업","경기도 안양시 동안구 호계동 1043-1 다운타운빌딩 "
"경기도","N","일산프라자 2층 202, 203호 (장항동)",9,"20220519","정상운영","","2023-02-03","없음","10401",186,"일산프라자 2층 202, 203호 (장항동)","kOD5+t0LShiFCHy17IPF1GHoxiXjrAnpMGwmSvNgGKA=","체력단련장","고양시","장항동","고양시","10401","","2023-02-04","신고","경기도","코어짐","경기도 고양시 일산동구 무궁화로 42-28(장항동)","Y","체력단련장업","경기도 고양시 일산동구 장항동 776 일산프라자"
"경기도","N","",10,"20221006","정상운영","자체운영        ","2022-10-24","없음","14037",119,"","D7D1cbH4Y/9/32pLOwyvXRldsb+bz3Jx2DNu30s49+4=","체력단련장","안양시","안양동","안양시","14037","","2023-02-02","신고","경기도","포인트짐","경기도 안양시 만안구 태평로52번길 47(안양동)","Y","체력단련장업","경기도 안양시 만안구 안양동 1389-3 덕천디스퀘어"
"경기도","N","일산르메이에르프라자 3층 일부호 (백석동)",11,"20220427","정상운영","","2023-02-03","실내","10447",293,"일산르메이에르프라자 3층 일부호 (백석동)","x1mbDZbdY8EPL3jp2es6e1rAnHbEx3wjjhJfsQ9MXXg=","체력단련장","고양시","백석동","고양시","10447","","2023-02-03","신고","경기도","헬로우짐","경기도 고양시 일산동구 중앙로 1048(백석동)","Y","체력단련장업","경기도 고양시 일산동구 백석동 1297-2 일산르메이에르프라자"
"","N","",12,"20160711","정상운영","자체운영        ","2016-12-21","실내","21355",443,"4층 (부평동, 삼진빌딩)","qAQCb98Q1nNRZWzTX9BCsgcJFV/Q5hmAHcilgy8d/H8=","체력단련장","부평구","부평동","","21355","","2023-02-28","신고","인천광역시","머슬컴퍼니","인천광역시 부평구 주부토로 112, 4층 (부평동, 삼진빌딩)","Y","체력단련장업","인천광역시 부평구 부평동 890-3 "
"","N","",13,"20161223","정상운영","자체운영        ","2016-12-23","실내","42708",153,"2층 (호산동)","vXGG7iuxQ/+MeAODzaJo5EVy6y0dmGwKG73Igg9ri6o=","체력단련장","달서구","감삼동","","42708","","2023-02-14","신고","대구광역시","패러다임 짐","대구광역시 달서구 호산동로 185, 2층 (호산동)","Y","체력단련장업","대구광역시 달서구 호산동 361 "
"경기도","N","6층",14,"20230406","정상운영","","2023-04-11","실내","16705",480,"6층","","체력단련장","수원시","영통동","수원시 영통구","16705","","2023-04-11","신고","경기도","생활체육관","경기도 수원시 영통구 청명남로 30 (영통동)","Y","체력단련장업","경기도 수원시 영통구 영통동 1010-13 거성빌딩"
"경기도","N","",15,"20190624","정상운영","","2019-12-04","없음","16491",266,"","Rhd2NSi5lmdIRlMsEooxQEdpZ7T5ynlxCBaKSQP9wKQ=","체력단련장","수원시","인계동","수원시 팔달구","16491","","2023-05-05","신고","경기도","리조트휘트니스 PT 수원인계점","경기도 수원시 팔달구 권광로 146 (인계동)","Y","체력단련장업","경기도 수원시 팔달구 인계동 1125-2 벽산그랜드코아"
"경기도","N","지하4층 (이의동)",16,"20230424","정상운영","","2023-04-26","실내","16508",50,"지하4층 (이의동)","","체력단련장","수원시","이의동","수원시 영통구","16508","","2023-04-26","신고","경기도","에이알골프아카데미","경기도 수원시 영통구 도청로 10 (이의동)","Y","체력단련장업","경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티"
"경기도","N","",17,"20160429","정상운영","자체운영        ","2020-04-04","없음","13376",173,"","QrqA2NpUmPf0IdvEhfcqVL8tUp9NTg/YlFvO85qIjpw=","체력단련장","성남시","성남동","성남시","13376","","2023-04-26","신고","경기도","스카이뷰휘트니스","경기도 성남시 중원구 성남대로 1139 (성남동)","Y","체력단련장업","경기도 성남시 중원구 성남동 4170 한일타워"
