addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"대구광역시","N",1,"20210503","정상운영","2021-05-10","실외","41436",1035,"(읍내동)","nRl5PDTrjf73d2O2op2v1EfRW3pKkB3VNDvy/ik3md8=","축구","북구","읍내동","북구","41436","053-325-0574","2023-02-14","신고","대구광역시","(주)강북주니어축구클럽","대구광역시 북구 대천로7길 14 (읍내동)","Y","체육교습업","대구광역시 북구 읍내동 969 "
"대구광역시","N",2,"20210506","정상운영","2021-05-10","없음","41484",486,"2층","30QNsVLmTqJG1CFWejt5nKnqrwN0M73J6utNlbcRe8c=","축구","북구","태전동","북구","41484","053-314-0050","2023-02-14","신고","대구광역시","하이두축구클럽","대구광역시 북구 학정로 62 (태전동)","Y","체육교습업","대구광역시 북구 태전동 817-2"
"대구광역시","N",3,"20210611","정상운영","2021-06-15","없음","41409",4170,"옥상","1gKTuxWmOIgOlqHzuqYXKc6J2c16jDMMCiFLSOoeFwY=","축구","북구","연경동","북구","41409","","2023-02-14","신고","대구광역시","아이엔풋살파크","대구광역시 북구 연경지묘로 7 (연경동)","Y","체육교습업","대구광역시 북구 연경동 971"
"서울특별시","N",4,"20210308","정상운영","2021-03-11","없음","07961",286,"지층 (목동)","MUDyKSMjudmhrE4N/riW2BDMYFmEeTD1HkXn2giKroo=","축구","양천구","목동","양천구","07961","","2023-01-31","신고","서울특별시","KBJ 축구 아카데미","서울특별시 양천구 목동중앙로 73 (목동)","Y","체육교습업","서울특별시 양천구 목동 762-10"
"인천광역시","N",5,"20210527","정상운영","2023-03-15","없음","22001",210,"","","축구","연수구","송도동","","22001","032-859-7999","2023-05-10","신고","인천광역시","쿨키즈 스포츠 교실","인천광역시 연수구 신송로 164(송도동)","Y","체육교습업","인천광역시 연수구 송도동 20-18"
"경기도","N",6,"20230127","정상운영","2023-04-02","없음","12909",477,"미사센트럴프라자 706, 707, 401, 402호 (망월동)","","축구","하남시","망월동","하남시","12909","031-794-4010","2023-04-02","신고","경기도","송종국축구교실 하남1호점","경기도 하남시 미사강변대로 212 (망월동)","Y","체육교습업","경기도 하남시 망월동 968-1 미사센트럴프라자"
"대전광역시","N",7,"20230206","정상운영","2023-03-15","없음","35253",607,"","","축구","서구","탄방동","서구","35253","042-533-4747","2023-03-15","신고","대전광역시","천마스포츠센터","대전광역시 서구 유등로669번길 1(탄방동)","Y","체육교습업","대전광역시 서구 탄방동 1478-3"
"경기도","N",8,"20221228","정상운영","2023-02-14","없음","16393",858,"","","축구","수원시","금곡동","수원시","16393","","2023-02-14","신고","경기도","낫소FC","경기도 수원시 권선구 금호로 83-8(금곡동)","Y","체육교습업","경기도 수원시 권선구 금곡동 1141"
"경기도","N",9,"20211108","정상운영","2021-11-18","없음","14923",381,"","c1Wogk4gozDfUQKGgB0VZobrAkYUbWTRr7o0XRhCrGo=","축구","시흥시","은행동","시흥시","14923","","2023-01-31","신고","경기도","주식회사 제이앤케이 에프씨","경기도 시흥시 은계번영길 19(은행동)","Y","체육교습업","경기도 시흥시 은행동 646-8 은계 디스퀘어큐브"
"경기도","N",10,"20210205","정상운영","2021-03-12","실내","16829",0,"광교프라자 B01호","gbAOQdNLbLjPZZvyS3DoVtxwSjytilsdZTgtJPS4r08=","축구","용인시","풍덕천동","용인시","16829","","2023-01-31","신고","경기도","멘토링축구아카데미","경기도 용인시 수지구 문인로13번길 2 (풍덕천동)","Y","체육교습업","경기도 용인시 수지구 풍덕천동 672-1 광교대중목욕탕"
"경기도","N",11,"20220801","정상운영","2022-12-27","없음","17018",294,"","N7rIRQHyM+B2Q9Twp1cFwvloqNIYN7qufmajbAhpBd0=","축구","용인시","역북동","용인시","17018","","2023-05-11","신고","경기도","(주)코오버코칭코리아","경기도 용인시 처인구 성산로121번길 21(역북동)","Y","체육교습업","경기도 용인시 처인구 역북동 205-18"
"경기도","N",12,"19999999","정상운영","2023-02-14","실외","17376","","","","축구장","이천시","중리동","이천시","17376","031-644-4317","2023-02-14","공공","경기도","이천공설운동장 축구장","경기도 이천시 서희로 11(중리동)","N","축구장","경기도 이천시 중리동 449"
