addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,sdwn_ymd,faci_gfa,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N",1,"20170224","폐업","2020-03-24","없음","37.5732856027865","02588","20230227",71,"CTuAytQAH9RqFl3Qp9pHYRH0HglaFyfhARdOenjYH10=","태권도","동대문구","용두동","동대문구","02588","127.031755527083","2023-02-28","신고","서울특별시","정태겸 유아체육체능단","서울특별시 동대문구 무학로26길 16 (용두동)","Y","체육도장업","서울특별시 동대문구 용두동 779 신동아아파트"
"서울특별시","N",2,"20010310","정상운영","2018-03-14","실내","37.5021048608","07377","",0,"QmxontXTC6EWnP+bhSPHtw5vw3NIQvX5woFAPUicSiM=","태권도","영등포구","대림동","영등포구","07377","126.8961717807","2023-02-14","신고","서울특별시","건무도장","서울특별시 영등포구 도신로4길 17 (대림동)","Y","체육도장업","서울특별시 영등포구 대림동 783-13 용현빌딩"
"서울특별시","N",3,"20200129","정상운영","2020-01-31","없음","","05276","",0,"ehoetWCUAIcp9zcD7LOA5/IdXBRLpu/42KINcBvaFKo=","태권도","강동구","상일동","강동구","05276","","2023-04-26","신고","서울특별시","경희대 SKY 태권도장","서울특별시 강동구 고덕로80길 123, 고덕센트럴 IPARK(A상가) 2층 210-1호 (상일동)","Y","체육도장업","서울특별시 강동구 상일동 513 고덕센트럴 IPARK(A상가) 2층 210-1호 "
"서울특별시","N",4,"20190130","정상운영","2019-06-11","없음","37.49969302228436","05695","",128,"xkEzCMZX1+UPoCekko1elomjT71mJD+QpQvPDGxg2aU=","태권도","송파구","석촌동","송파구","05695","127.10467530981943","2023-03-18","신고","서울특별시","용인대 헬리오 태권도","서울특별시 송파구 송파대로37길 70 (석촌동)","Y","체육도장업","서울특별시 송파구 석촌동 254-5"
"대구광역시","N",5,"20161220","정상운영","2016-12-20","","35.8992540426","41524","",344,"5DWy3ggV3EO1n2y2dMelWEjYv8B8CEgLJ6QPS9i72qU=","태권도","북구","복현동","북구","41524","128.6155468757","2023-04-26","신고","대구광역시","K&P 태권도장","대구광역시 북구 검단로 16 (복현동)","Y","체육도장업","대구광역시 북구 복현동  539-17"
"","N",6,"20170621","정상운영","2017-06-21","실내","35.1997834482","48025","",0,"JX3s0D5VhemSlKM/XP+2Y8PDtczV+Ux6FVCjCeHyGbI=","태권도","해운대구","반여동","","48025","129.1332943246","2023-02-14","신고","부산광역시","원호체육관","부산광역시 해운대구 재반로256번길 32 (반여동)","Y","체육도장업",""
"경기도","N",7,"20210420","정상운영","2021-04-27","없음","","10101","",189,"4pqTY1jk04UzC/SCXCD7tDTDg1tEn+1klxPsEM9+uJo=","태권도","김포시","북변동","김포시","10101","","2023-02-02","신고","경기도","월드클래스 태권도 북변센터 줄넘기 클럽","경기도 김포시 봉화로 180, 3층 (북변동)","Y","체육도장업","경기도 김포시 북변동 761 "
"부산광역시","N",8,"20170525","정상운영","2019-03-15","실내","35.098596067012124","46726","",318,"SnA0Ebte0EtC20j1DzfsHOtcbV8DwGCmD66fUQksVWQ=","태권도","강서구","명지동","강서구","46726","128.91800452404138","2023-02-14","신고","부산광역시","SPM 태권도","부산광역시 강서구 명지국제8로 229 (명지동)","Y","체육도장업","부산광역시 강서구 명지동 3357-1"
"인천광역시","N",9,"20211231","정상운영","2022-02-28","없음","37.4867502659962","22402","",233,"zBRnGjW6j2MqmCdz48lgVugI8+8stN3szX9hBaKXHzw=","태권도","중구","중산동","중구","22402","126.558143403016","2023-02-28","신고","인천광역시","용인대가온태권도","인천광역시 중구 하늘달빛로 84(중산동)","Y","체육도장업","인천광역시 중구 중산동 1875-6"
"경기도","N",10,"20230227","정상운영","2023-02-28","없음","37.6520637227421","10583","",118,"","태권도","고양시","지축동","고양시 덕양구","10583","126.918997071692","2023-02-28","신고","경기도","바른태권도","경기도 고양시 덕양구 지정로 77(지축동)","Y","체육도장업","경기도 고양시 덕양구 지축동 924-6 이준프라자"
"대전광역시","N",11,"20220906","정상운영","2023-03-15","없음","36.3129401753681","35402","",133,"","태권도","서구","도마동","서구","35402","127.381621137117","2023-03-15","신고","대전광역시","경희대 이룸 태권도","대전광역시 서구 바탕들3길 26(도마동)","Y","체육도장업","대전광역시 서구 도마동 175-13"
"경기도","N",12,"20221216","정상운영","2023-02-14","없음","37.2552312839862","16579","",156,"","태권도","수원시","세류동","수원시 권선구","16579","127.01831529792","2023-02-14","신고","경기도","국가대표 SH 태권도","경기도 수원시 권선구 세권로138번길 40(세류동)","Y","체육도장업","경기도 수원시 권선구 세류동 1094-18"
"경기도","N",13,"20230201","정상운영","2023-02-14","없음","37.268935211132","16395","",144,"","태권도","수원시","호매실동","수원시 권선구","16395","126.956663345361","2023-02-14","신고","경기도","맥스 점프파이어","경기도 수원시 권선구 금호로 48-8(호매실동)","Y","체육도장업","경기도 수원시 권선구 호매실동 395-1"
"경기도","N",14,"20210728","정상운영","2022-03-08","없음","37.5093252182508","12996","",144,"UDdATLybrv38DWo0XIfFt3w7YNNkaXxFHja5d8SQhR4=","태권도","하남시","감일동","하남시","12996","127.162969350671","2023-02-28","신고","경기도","태권십 효 태권도","경기도 하남시 신우실로 73(감일동)","Y","체육도장업","경기도 하남시 감일동 530-4"
"경기도","N",15,"20161231","정상운영","2016-12-31","실내","36.49787652957536","13187","",142,"xB9olQXwPSC7davAAPalLGQgYPfY/xAsCV/Dt6NFZqY=","태권도","성남시","","성남시","13187","127.26543401552541","2023-03-31","신고","경기도","경희대 이루다 태권도장","경기도 성남시 중원구 금광로 71, 4단지 상가동 2층 (금광동, e편한세상금빛그랑메종)","Y","체육도장업","경기도 성남시 중원구 금광동 1016 e편한세상금빛그랑메종 "
"경기도","N",16,"20120309","정상운영","2017-06-07","실내","","11171","",151,"pap9vPjyUHaxM0qlxR3CWP57d567VGGSxWtGWqVLoIE=","태권도","포천시","송우리","포천시","11171","","2023-02-28","신고","경기도","경희대석사 孝 태권도장","경기도 포천시 소흘읍 솔모루로3번길 33","Y","체육도장업","경기도 포천시 소흘읍 송우리 497-3 "
"경기도","N",17,"20130612","정상운영","2017-06-07","실내","38.0315787111","11111","",134,"1tmm8CYZQOBcvASiYWETDMo9iYgW7PubDFDIKdhiSmo=","태권도","포천시","장암리","포천시","11111","127.3667627507","2023-02-28","신고","경기도","영 챔피언 태권도","경기도 포천시 이동면 화동로 2058, 2층","Y","체육도장업","경기도 포천시 이동면 장암리 240-22 "
"강원도","N",18,"20170828","폐업","2017-08-28","없음","37.4893291038","25233","20230227","","6dPHg8M773PdiAPf1UWYcDIBTlj5YWLemklWKHND9dc=","태권도","횡성군","읍하리","횡성군","25233","127.9850567714","2023-02-28","신고","강원도","성무체육관","강원도 횡성군 횡성읍 한우로 279-1","Y","체육도장업",""
"","N",19,"20050510","폐업","2016-12-31","실내","37.4846253241","21410","20230201",112,"yiLSimUeCfFUuKkd1aJDQq7paaQ7y6Ak1IMIuPKVVpc=","태권도","부평구","부평동","","21410","126.7160723754","2023-02-03","신고","인천광역시","국가대표 창비 효 태권도","인천광역시 부평구 경인로 859 (부평동)","Y","체육도장업",""
"인천광역시","N",20,"19910112","폐업","2016-12-21","실내","37.5102538994","21309","20230201","","wJQLR3o5GP0bbhQwRB1r+3PCm1J8T939TaK99jKGZuc=","태권도","부평구","산곡동","부평구","21309","126.7016246014","2023-02-03","신고","인천광역시","용인대유비태권도","인천광역시 부평구 마장로361번길 33 (산곡동)","Y","체육도장업","인천광역시 부평구 산곡동  26-19"
"경기도","N",21,"20170831","정상운영","2023-02-06","실내","37.7256432866075","11704","",135,"","태권도","의정부시","호원동","의정부시","11704","127.049144681235","2023-02-07","신고","경기도","청춘태권도장","경기도 의정부시 회룡로138번길 9(호원동)","Y","체육도장업","경기도 의정부시 호원동 423-5"
"경기도","N",22,"20161231","정상운영","2016-12-31","실내","37.363184511492","13612","",535,"tgcQWuYRRQiQYwleuzzDzIbMavJP1xzv4qoFNz27izw=","태권도","성남시","정자동","성남시 분당구","13612","127.113802951041","2023-01-30","신고","경기도","블랙벨트센터 태권도장","경기도 성남시 분당구 정자로 80(정자동)","Y","체육도장업","경기도 성남시 분당구 정자동 126-2 정자프라자"
"경기도","N",23,"20170802","정상운영","2023-02-06","실내","37.7450940863888","11813","",107,"","태권도","의정부시","민락동","의정부시","11813","127.099315346737","2023-02-07","신고","경기도","송산태랑태권도","경기도 의정부시 민락로 211(민락동, 호반베르디움1차)","Y","체육도장업","경기도 의정부시 민락동 847 호반베르디움1차"
"경기도","N",24,"20161223","정상운영","2023-02-06","실내","","11815","",117,"","태권도","의정부시","낙양동","의정부시","11815","","2023-03-08","신고","경기도","연세 탑 영어태권도장","경기도 의정부시 민락로 388, 401호 (낙양동)","Y","체육도장업","경기도 의정부시 낙양동 743-2 401호"
"경기도","N",25,"20220823","정상운영","2023-01-30","없음","37.4230461575258","13835","",91,"udhP6lsSwGGHf01Wd1foxTESV6WcqsVgBwPqqkjuuOc=","태권도","과천시","원문동","과천시","13835","126.993521744239","2023-01-30","신고","경기도","경희대 빅토리 유치부 태권도장","경기도 과천시 별양로 12(원문동, 래미안 슈르)","Y","체육도장업","경기도 과천시 원문동 4 래미안 슈르"
"","N",26,"20130416","폐업","2017-03-20","실내","35.8114372942","38604","20230410",141,"GkbWdq3oQlnmfn+Y6eVU+VVzY6UZFbN+RRB47mB6ibs=","태권도","경산시","사동","","38604","128.7547809689","2023-04-11","신고","경상북도","계명대 무림태권도","경상북도 경산시 백자로10길 3-11 (사동)","Y","체육도장업",""
"경기도","N",27,"20080829","정상운영","2023-02-02","없음","37.6253743686405","10102","",214,"VA4oAgV8S4qK1HmayNaB2KAJNDsVFoI6uXVW4xuTakM=","태권도","김포시","감정동","김포시","10102","126.702665988342","2023-02-02","신고","경기도","튼튼태권도","경기도 김포시 봉화로163번길 40(감정동)","Y","체육도장업","경기도 김포시 감정동 673-1"
"경기도","N",28,"20100422","정상운영","2023-02-02","없음","37.6253743686405","10102","",207,"ZX7m1PDoqFyHVAOH9Ea28WLUUnQMm0gchgEcMZulZTs=","태권도","김포시","감정동","김포시","10102","126.702665988342","2023-02-02","신고","경기도","경원대 길 태권스쿨","경기도 김포시 봉화로163번길 40(감정동)","Y","체육도장업","경기도 김포시 감정동 673-1"
"경기도","N",29,"20220920","정상운영","2023-02-01","없음","37.6448294347533","10077","",104,"SShIxKwF2wV6w5ezKq7q9DrPklD6vmeqVTnBgh657Yg=","태권도","김포시","운양동","김포시","10077","126.691187475643","2023-02-01","신고","경기도","다온태권도장","경기도 김포시 김포한강11로 38(운양동, 모담마을 한강 화성파크드림)","Y","체육도장업","경기도 김포시 운양동 1325-7 모담마을 한강 화성파크드림"
"경기도","N",30,"20090130","정상운영","2023-02-02","없음","37.6274962902475","10102","",199,"IDAWLlOiBAb0pZWufJOzB+rbxnzklqd/dqeg0UJaEug=","태권도","김포시","감정동","김포시","10102","126.70217178196","2023-02-02","신고","경기도","현대태권도체육관","경기도 김포시 봉화로 175(감정동)","Y","체육도장업","경기도 김포시 감정동 448-2"
"경기도","N",31,"20071218","정상운영","2017-09-07","실내","37.5892199105252","12208","",95,"MAILQ+zMrGK367CteLsRKU7x4sARLItbMCwY5T+Qs3w=","태권도","남양주시","덕소리","남양주시","12208","127.220448253493","2023-03-15","신고","경기도","화심회 라온 태권도장","경기도 남양주시 와부읍 덕소로97번길 69(강산마을코오롱대성아파트)","Y","체육도장업","경기도 남양주시 와부읍 덕소리 145-4 강산마을코오롱대성아파트"
"경기도","N",32,"20060619","정상운영","2023-02-02","없음","37.724575604609","10012","",330,"8taCm83Cuv4HQgageiAMuFfD1SSDmcdSiixj3DSuJPI=","태권도","김포시","석탄리","김포시","10012","126.647686228522","2023-02-02","신고","경기도","하성 태권도","경기도 김포시 하성면 석평로 137","Y","체육도장업","경기도 김포시 하성면 석탄리 333-4"
"충청남도","N",33,"20070330","정상운영","2016-12-08","실내","36.7579612229","32141","",115,"ZJ7TZW/4erzBhiw18ix7rBUjP3BwA91lG8SnXWffWoE=","태권도","태안군","동문리","태안군","32141","126.2986466621","2023-04-26","신고","충청남도","솔로몬 태권도장","충청남도 태안군 태안읍 백화로 72","Y","체육도장업","충청남도 태안군 태안읍 동문리 691-2"
"경기도","N",34,"20230404","정상운영","2023-04-11","실내","37.2653875695979","16706","",184,"","태권도","수원시","","수원시","16706","127.07738730716","2023-04-12","신고","경기도","한국파워점핑태권도줄넘기","경기도 수원시 영통구 영통로 521-1 (영통동)","Y","체육도장업","경기도 수원시 영통구 영통동 949-2"
"충청남도","N",35,"19941129","정상운영","2016-12-31","실내","36.7974487825425","31173","",198,"3IGi9TKFkfSTPdKcyYobvf/+oJoWvdMxvtlK2WAIMpE=","태권도","천안시","쌍용동","천안시","31173","127.122027526242","2023-03-15","신고","충청남도","왕호태권도장","충청남도 천안시 서북구 쌍용16길 41 (쌍용동, 일성다래아파트)","Y","체육도장업","충청남도 천안시 서북구 쌍용동 657 일성다래아파트"
"충청남도","N",36,"20110311","정상운영","2016-12-31","실내","36.810043996554825","31163","",100,"XU4w6guOSq2DeZOJOD1uqMomoNgDNx2ABHxeykXVfNE=","태권도","천안시","불당동","천안시 서북구","31163","127.1093187642976","2023-03-15","신고","충청남도","용인대챔피온태권도&한국파워점핑줄넘기","충청남도 천안시 서북구 검은들3길 52 (불당동)","Y","체육도장업","충청남도 천안시 서북구 불당동 730 드림프라자"
"대구광역시","N",37,"20230330","정상운영","2023-04-03","실내","35.9533719854214","41408","",138,"","태권도","북구","국우동","북구","41408","128.584228836205","2023-04-03","신고","대구광역시","다한 태권도장","대구광역시 북구 도남중앙로 80 (국우동)","Y","체육도장업","대구광역시 북구 국우동 0 도남지구 33B-1L"
"","N",38,"20170620","폐업","2017-06-20","","37.5250651687","14430","20230414","","gfUBVPxhRrAPpo6i3YpaDTmd5toLTUGFcPxqsmvxkHo=","태권도","부천시","원종동","","14430","126.8023166767","2023-04-19","신고","경기도","경희대위너태권도장","경기도 부천시 성오로124번길 47 (원종동)","Y","체육도장업",""
"경기도","N",39,"20200108","정상운영","2023-04-12","없음","0","18266","",389,"","태권도","화성시","","화성시","18266","0","2023-04-12","신고","경기도","힘찬TJ태권도장","경기도 화성시 남양읍 역골동로 122","Y","체육도장업","경기도 화성시 남양읍 남양리 2230-6"
