addr_ctpv_nm,stand_seat_cnt,nation_yn,row_num,base_ymd,fmng_dept_nm,faci_stat_nm,faci_mng_type_cd,fmng_type_gb_nm,reg_dt,fmng_cpb_nm,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_cd_hash,fmng_cp_nm,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_mng_user_telno,faci_nm,faci_road_addr,cp_ymd,atnm_chk_yn,fcob_nm,faci_addr,stand_cpt_psn_cnt,ssm_dsn_yn
"경상남도",200,"N",1,"20031201","교육체육과","정상운영","자체운영        ","지자체","2016-12-31","밀양시","실외","35.5056776958","50420",80,"M2qq93RzkSuqFzeARkYSklWG5MHvskgMAZ09cbPKZgo=","경상남도","테니스장","밀양시","교동","밀양시","50420","055-354-0003","128.7448360084","2023-03-17","공공","경상남도","055-359-5774","밀양스포츠센터 테니스장","경상남도 밀양시 시청로 28 (교동)","20031201","N","테니스장","경상남도 밀양시 교동 1121-3 미리벌관",300,"N"
"서울특별시",9931,"Y",2,"19990101","공원경영팀","정상운영","위탁운영        ","국민체육","2016-12-31","","실외","37.51365159973989","05540",9064,"Xv03S78BWqcGlz0T97SgBOhj90i1ok+v7edlC/knF3k=","","테니스장","송파구","방이동","송파구","05540","02-2180-3743","127.12822171396188","2023-02-08","공공","서울특별시","02-410-1322","올림픽공원 테니스경기장","서울특별시 송파구 올림픽로 424 (방이동)","","N","테니스장","",10000,"X"
"경기도","","N",3,"19990101","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","없음","37.217729646305415","18389","","2wsLduJm7Ijq4JkHV/ZlYVnScMSDhY/tsNrzoQFk0vA=","경기도","테니스장","화성시","진안동","화성시","18389","031-369-6273","127.03190726059965","2023-04-04","공공","경기도","031-3696-273","진안공공공지 테니스장","경기도 화성시 병점중앙로 214-58 (진안동)","","N","테니스장","경기도 화성시 진안동 121-2","","X"
"경기도","","N",4,"19990101","체육진흥과 체육시설팀","정상운영","위탁운영        ","지자체","2021-07-09","화성시","실외","37.2040135169894","18436","","T3EAoFuGxnBIXoRSx8SOUNCKyELZ+ZQ2ip/Cd+kUKEk=","경기도","테니스장","화성시","반송동","화성시","18436","031-355-1292","127.063602683321","2023-04-04","공공","경기도","031-5189-6188","센트럴파크 테니스장","경기도 화성시 동탄공원로1길 26-23(반송동)","","N","테니스장","경기도 화성시 반송동 59","","X"
"경기도","","N",5,"20171218","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.20679639996783","18460","","bjLYM3kqQ0WCPZ1G5K6mnld+EHKIrQZaWD9Hsq4IZCY=","경기도","테니스장","화성시","석우동","화성시","18460","031-369-6273","127.07822458867963","2023-04-04","공공","경기도","031-369-6273","테니스장(예당 임시체육시설)","경기도 화성시 노작로 226-9 (석우동)","","N","테니스장","경기도 화성시 석우동 60 동탄보건지소","","N"
"경기도","","N",6,"19990101","체육진흥과 체육시설팀","정상운영","위탁운영        ","지자체","2021-07-14","화성시","실외","37.2054715031728","18472","","+ffCz0fufvWj5J90ceLiR5cqNWbo3oA8UmXlLmylo34=","경기도","테니스장","화성시","영천동","화성시","18472","031-355-1292","127.106524046073","2023-04-04","공공","경기도","031-5189-6188","치동천체육공원 테니스장","경기도 화성시 동탄순환대로29길 38(영천동)","","N","테니스장","경기도 화성시 영천동 670-2","","X"
"강원도","","N",7,"19990101","정선읍","정상운영","자체운영        ","지자체","2022-01-13","정선군","실내","37.3770583608367","26125","","MNJToeIGio/IXB+jOk2M01DFdoD3Q4gAluzfJ3+VquQ=","강원도","테니스장","정선군","애산리","정선군","26125","033-560-2768","128.674744378219","2023-04-04","공공","강원도","033-560-2768","정선종합경기장 테니스장","강원도 정선군 정선읍 애산로 60","","N","테니스장","강원도 정선군 정선읍 애산리 768 정선종합경기장 정선체육관","","X"
"경기도","","N",8,"19970401","체육진흥과","정상운영","자체운영        ","지자체","2017-01-04","시흥시","없음","37.4447712391","14913","","ABmndrcXykU29fiShjEPI+LXXa8WoovXlIRfCvdbZdw=","경기도","테니스장","시흥시","대야동","시흥시","14913","031-310-3159","126.7960777277","2023-02-15","공공","경기도","031-310-3159","대야동 테니스장","경기도 시흥시 은행로 246 (대야동)","19970401","N","테니스장","","","X"
"경기도","","N",9,"19999999","체육진흥과","정상운영","위탁운영        ","지자체","2023-01-30","시흥시","실외","37.4159601648551","14931","","Rwk8P53/ep/Vxjp3D4wSM9a1s3wo9cb6TCT9beK2Qns=","경기도","테니스장","시흥시","매화동","시흥시","14931","031-310-3159","126.822777511916","2023-02-15","공공","경기도","031-310-3159","매화1 체육공원 테니스장","경기도 시흥시 수인로2910번길 38(매화동)","","N","테니스장","경기도 시흥시 매화동 151 매화체육공원","","X"
"경기도","","N",10,"19950403","체육진흥과","정상운영","자체운영        ","지자체","2017-01-09","시흥시","실외","37.3413852707","15069","","I5t4n57lcBJTlAIVF5xwgkksfLmgwredxI3oT/PFGE8=","경기도","테니스장","시흥시","거모동","시흥시","15069","031-310-3159","126.7863093375","2023-02-15","공공","경기도","031-310-3159","거모동 체육시설(테니스)","경기도 시흥시 군자로534번길 19 (거모동)","19950403","N","테니스장","","","X"
"경상남도","","N",11,"19990101","문화체육과","정상운영","자체운영        ","지자체","2021-11-22","창녕군","실외","35.3898212610015","50355","","j2g5iXbNlK7L9uC0jJd5s8V95A4V8aZFCGnGGQjaaJA=","경상남도","테니스장","창녕군","남지리","창녕군","50355","055-530-1484","128.471958983726","2023-04-04","공공","경상남도","055-530-1486","남지테니스장","경상남도 창녕군 남지읍 낙동로 429","","N","테니스장","경상남도 창녕군 남지읍 남지리 723 남지초등학교","","X"
"전라북도","","N",12,"20161231","","정상운영","","지자체","2016-12-31","익산시","실외","","",1150,"wvMVPvM4T+Y1+AUlb+meS2ewPsEfirnMYziRhF6sXGo=","전라북도","테니스장","익산시","","익산시","","","","2023-04-04","공공","전라북도","","금마다목적체육관테니스장","","","N","테니스장","","",""
"충청북도","","N",13,"20170901","시설관리사업소","정상운영","자체운영        ","지자체","2023-03-02","음성군","실외","37.1063299884692","27611","","","충청북도","테니스장","음성군","오향리","음성군","27611","043-871-5919","127.648606550347","2023-03-02","공공","충청북도","043-871-2483","감곡생활체육공원 테니스장","충청북도 음성군 감곡면 감문1길 20","20170901","N","테니스장","충청북도 음성군 감곡면 오향리 1188","","Y"
