row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,권투,금천구,가산동,서울특별시,엑스퍼트짐 가산점,서울특별시 금천구 벚꽃로 278 (가산동),서울특별시 금천구 가산동 60-19 SJ테크노빌
2,정상운영,권투,군포시,산본동,경기도,산본미래권투,경기도 군포시 산본로343번길 21 (산본동),경기도 군포시 산본동 1137 동화프라자
3,정상운영,권투,수원시,곡반정동,경기도,팀 챌린지,경기도 수원시 권선구 동수원로146번길 293(곡반정동),경기도 수원시 권선구 곡반정동 539-4
4,폐업,권투,안양시,안양동,경기도,안양미래권투체육관,경기도 안양시 만안구 안양로 300 (안양동),
5,정상운영,권투,의정부시,호원동,경기도,다올짐 호원점,"경기도 의정부시 평화로 174, 5.6층 (호원동)","경기도 의정부시 호원동 463-18 5,6층 "
6,정상운영,권투,의정부시,신곡동,경기도,원투체육관,경기도 의정부시 추동로19번길 9-5(신곡동),경기도 의정부시 신곡동 673-2
7,정상운영,권투,김포시,운양동,경기도,THE BOXING,"경기도 김포시 김포한강11로 288-31, 에이스프라자 3층 305,306,307호 (운양동)",경기도 김포시 운양동 1296-9 에이스프라자 
8,정상운영,권투,김포시,양곡리,경기도,HHIM 힘 복싱스쿨,"경기도 김포시 양촌읍 양곡4로 100-24, 일부",경기도 김포시 양촌읍 양곡리 368-5 
9,정상운영,권투,광주시,쌍령동,경기도,파크짐,경기도 광주시 경충대로1422번길 11-3(쌍령동),경기도 광주시 쌍령동 347-15
10,정상운영,권투,수성구,,대구광역시,서부복싱,"대구광역시 수성구 용학로46길 41, 지하 1층 (지산동)",대구광역시 수성구 지산동 1206-7 
11,정상운영,권투,서구,,광주광역시,PJ짐총본관,광주광역시 서구 내방로 394(농성동),광주광역시 서구 농성동 393-3
12,정상운영,권투,서구,원당동,인천광역시,슬러거 복싱짐,인천광역시 서구 이음5로 60(원당동),인천광역시 서구 원당동 1030-1 JS프라자
13,정상운영,권투,수원시,매탄동,경기도,수원M복싱,경기도 수원시 영통구 중부대로 260 (매탄동),경기도 수원시 영통구 매탄동 153-15
14,정상운영,권투,문경시,점촌동,경상북도,장군복싱클럽,경상북도 문경시 중앙10길 9 (점촌동),경상북도 문경시 점촌동 54-8
15,정상운영,권투,북구,,광주광역시,베스트팀맥짐,광주광역시 북구 첨단연신로91번길 20-4(신용동),광주광역시 북구 신용동 729
16,정상운영,권투,중랑구,망우동,서울특별시,클라우스 복싱체육관 2관,서울특별시 중랑구 망우로 413(망우동),서울특별시 중랑구 망우동 488-3 삼영빌딩
17,정상운영,권투,성남시,정자동,경기도,The 복싱클럽,"경기도 성남시 분당구 내정로31번길 7-13, 3층 (정자동)",경기도 성남시 분당구 정자동 129-4 
18,정상운영,권투,수원시,망포동,경기도,타이틀복싱 수원 망포점,경기도 수원시 영통구 영통로 169(망포동),경기도 수원시 영통구 망포동 297-8
19,정상운영,권투,김포시,석모리,경기도,맥스클럽짐,경기도 김포시 양촌읍 석모로 14-9,경기도 김포시 양촌읍 석모리 876-2
20,정상운영,권투,순천시,신대리,전라남도,지비 순천 주짓수 킥복싱,전라남도 순천시 해룡면 매안로 111,전라남도 순천시 해룡면 신대리 1990
21,정상운영,권투,상주시,무양동,경상북도,상주복싱헬스,경상북도 상주시 동수3길 99(무양동),경상북도 상주시 무양동 174
22,정상운영,권투,성북구,,서울특별시,위복싱짐,서울특별시 성북구 정릉로38길 8(정릉동),서울특별시 성북구 정릉동 16-202
23,정상운영,권투,의정부시,,경기도,슈가복싱,경기도 의정부시 추동로 95(신곡동),경기도 의정부시 신곡동 757-8 승원빌딩
24,정상운영,권투,전주시,효자동2가,전라북도,복싱 사관학교,전라북도 전주시 완산구 효천중앙로 57 (효자동2가),전라북도 전주시 완산구 효자동2가 1377 모악빌딩
25,정상운영,권투,중구,오류동,대전광역시,용인대 엘리트복싱 체육관,대전광역시 중구 계백로 1715(오류동),대전광역시 중구 오류동 154-6
26,정상운영,권투,용인시,상현동,경기도,케이앤비체육관,경기도 용인시 수지구 수지로 77 (상현동),경기도 용인시 수지구 상현동 106-8 힐프라자
27,정상운영,권투,광주시,송정동,경기도,용인대 원탑유도센터,경기도 광주시 송정로 7(송정동),경기도 광주시 송정동 139-9
28,정상운영,권투,연수구,연수동,인천광역시,복싱DAY,인천광역시 연수구 먼우금로 190 (연수동),인천광역시 연수구 연수동 597-4 연수프라자
29,정상운영,권투,수원시,매탄동,경기도,매탄 타이혼,경기도 수원시 영통구 효원로 393(매탄동),경기도 수원시 영통구 매탄동 1267-5 밀래니엄프라자
30,정상운영,권투,고양시,지축동,경기도,모던복싱클럽 지축,경기도 고양시 덕양구 지축1로 69 (지축동),경기도 고양시 덕양구 지축동 1007-2 공감타워
31,정상운영,권투,수원시,영통동,경기도,신은철복싱월드,경기도 수원시 영통구 반달로7번길 6(영통동),경기도 수원시 영통구 영통동 998-5 센타프라자
32,정상운영,권투,고양시,식사동,경기도,밤짐복싱,경기도 고양시 일산동구 위시티3로 52 (식사동),경기도 고양시 일산동구 식사동 1541
33,정상운영,권투,충주시,용산동,충청북도,AZIT복싱짐,충청북도 충주시 형설로 62-13 (용산동),충청북도 충주시 용산동 1948
34,정상운영,권투,연수구,송도동,인천광역시,히트앤핏 송도,인천광역시 연수구 해돋이로 114(송도동),인천광역시 연수구 송도동 3-29 서운프라자
35,정상운영,권투,시흥시,능곡동,경기도,권프로 B&B 멀티짐,"경기도 시흥시 승지로60번길 28, 다우빌딩 2층 203~204호 (능곡동)",경기도 시흥시 능곡동 750 다우빌딩 
36,정상운영,권투,연수구,송도동,인천광역시,김지산 복싱센터,인천광역시 연수구 하모니로138번길 11(송도동),인천광역시 연수구 송도동 8-20 송도캐슬센트럴파크
37,정상운영,권투,서구,마전동,인천광역시,투혼 실전복싱,인천광역시 서구 완정로 43(마전동),인천광역시 서구 마전동 1021-1 마전프라자
38,정상운영,권투,북구,일곡동,광주광역시,전일복싱클럽(일곡관),광주광역시 북구 설죽로 511(일곡동),광주광역시 북구 일곡동 846-3
39,정상운영,권투,세종시,반곡동,세종특별자치시,세종복싱 반곡점,세종특별자치시 한누리대로 1824(반곡동),세종특별자치시 반곡동 49-13
40,정상운영,권투,원주시,가곡리,강원도,원투복싱클럽 기업점,강원도 원주시 지정면 신지정로 322-1,강원도 원주시 지정면 가곡리 1497-1
41,정상운영,권투,광양시,,전라남도,JR 복싱짐,전라남도 광양시 광양읍 인서중앙길 27,전라남도 광양시 광양읍 인서리 138
42,정상운영,권투,성남시,이매동,경기도,대한권투분당,경기도 성남시 분당구 성남대로779번길 17 (이매동),경기도 성남시 분당구 이매동 106-3 포티스빌딩
43,정상운영,권투,광진구,화양동,서울특별시,맥코이 복싱클럽(건대점),서울특별시 광진구 아차산로29길 75 (화양동),서울특별시 광진구 화양동 34-75
44,폐업,권투,남양주시,덕소리,경기도,엔젤 다이어트 뮤직복싱,경기도 남양주시 와부읍 덕소로 79,경기도 남양주시 와부읍 덕소리 463-4 광성빌딩
45,정상운영,권투,안성시,,경기도,위너 복싱 GYM,경기도 안성시 공도읍 공도로 132,경기도 안성시 공도읍 만정리 274-3
46,정상운영,권투,동구,효목동,대구광역시,더아트복싱클럽,대구광역시 동구 화랑로 77(효목동),대구광역시 동구 효목동 510-3 불광한방병원
47,정상운영,권투,하남시,망월동,경기도,로망핏,"경기도 하남시 미사강변남로 87, 스타파크 401호 (망월동)",경기도 하남시 망월동 1119 스타파크 
48,정상운영,권투,김포시,마산동,경기도,한국체대 복싱,경기도 김포시 김포한강8로162번길 10(마산동),경기도 김포시 마산동 650-7
49,정상운영,권투,파주시,동패동,경기도,타이거짐복싱클럽,경기도 파주시 청석로 256 (동패동),경기도 파주시 동패동 1694-2 교하일번가빌딩
50,정상운영,권투,안산시,,경기도,화랑복싱,"경기도 안산시 단원구 광덕3로 213, 3층 (고잔동)",경기도 안산시 단원구 고잔동 741 
51,정상운영,권투,김해시,,경상남도,팀매드,경상남도 김해시 함박로101번길 8 (외동),경상남도 김해시 외동 1253-3 경원빌딩
