row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,농구,용인시,신봉동,경기도,제이비스포츠,경기도 용인시 수지구 신봉2로 94-6(신봉동),경기도 용인시 수지구 신봉동 942-1
2,정상운영,농구,용인시,,경기도,마스터욱,경기도 용인시 수지구 성복2로 369(성복동),경기도 용인시 수지구 성복동 628-13
3,정상운영,농구,북구,동천동,대구광역시,더퍼스트스포츠에듀케이션,대구광역시 북구 동천로23길 50(동천동),대구광역시 북구 동천동 969-6
4,정상운영,농구,서구,탄방동,대전광역시,천마스포츠센터,대전광역시 서구 유등로669번길 1(탄방동),대전광역시 서구 탄방동 1478-3
5,정상운영,농구,김포시,태리,경기도,코리아농구교실,경기도 김포시 고촌읍 태리로190번길 80-18,경기도 김포시 고촌읍 태리 134-1
6,정상운영,농구,김포시,누산리,경기도,코리아농구교실 김포1지점,경기도 김포시 양촌읍 누산로 54,경기도 김포시 양촌읍 누산리 173
7,정상운영,농구,파주시,,경기도,라이킷스포츠아카데미,경기도 파주시 미래로602번길 43(와동동),경기도 파주시 와동동 1302-2
8,정상운영,농구,해운대구,중동,부산광역시,THE GRIT(더 그릿),부산광역시 해운대구 좌동순환로 414(중동),부산광역시 해운대구 중동 904-1 오산교회
9,정상운영,농구,상주시,,경상북도,상주삼백농구스포츠클럽,경상북도 상주시 북상주로 24-7(계산동),경상북도 상주시 계산동 474-1 상주시민운동장
10,정상운영,농구,고양시,백석동,경기도,GPNB,경기도 고양시 일산동구 장항로 73-3 (백석동),경기도 고양시 일산동구 백석동 1115-4
11,정상운영,농구,청주시,성화동,충청북도,올스타 키크는 농구교실,충청북도 청주시 서원구 2순환로1530번길 116(성화동),충청북도 청주시 서원구 성화동 336-1
12,정상운영,농구,동구,용전동,대전광역시,점프농구교실,대전광역시 동구 한밭대로 1322(용전동),대전광역시 동구 용전동 54-2
13,정상운영,농구,세종시,봉안리,세종특별자치시,탑 농구교실,세종특별자치시 장군면 당암길 100-21,세종특별자치시 장군면 봉안리 27
14,정상운영,농구,남구,진월동,광주광역시,농구교실 JH,광주광역시 남구 효덕로 277(진월동),광주광역시 남구 진월동 592-1 광주대학교
15,정상운영,농구,용인시,동천동,경기도,더모스트베스킷볼,경기도 용인시 수지구 동천로 417-1(동천동),경기도 용인시 수지구 동천동 625-1
16,정상운영,농구,영도구,동삼동,부산광역시,인피니트 스포츠(영도점),부산광역시 영도구 동삼로 45(동삼동),부산광역시 영도구 동삼동 328
17,정상운영,농구,오산시,부산동,경기도,더 모스트 트레이닝 랩,경기도 오산시 동부대로568번길 87-17(부산동),"경기도 오산시 부산동 471 (가동),(나동)"
18,정상운영,농구,계양구,선주지동,인천광역시,코리아 농구교실,"인천광역시 계양구 선주로54번길 12, 4동 (선주지동)",인천광역시 계양구 선주지동 114-6 
19,정상운영,농구,마포구,상수동,서울특별시,제이에스아레나(스티즈농구교실마포점),"서울특별시 마포구 토정로 131(상수동, 상수크리원)",서울특별시 마포구 상수동 355-2 상수크리원
20,정상운영,농구,용인시,김량장동,경기도,SK나이츠 농구교실 처인점,경기도 용인시 처인구 금령로12번길 6-1(김량장동),경기도 용인시 처인구 김량장동 329-10
21,정상운영,농구,수성구,범어동,대구광역시,더아이스포츠(The i sports),대구광역시 수성구 명덕로 485(범어동),대구광역시 수성구 범어동 776-7
