row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,수영장,노원구,중계동,서울특별시,타잔 B&G 어린이 수영장,"서울특별시 노원구 중계로 230 (중계동, 중계5단지주공아파트)",서울특별시 노원구 중계동 359-1 중계5단지주공아파트
2,정상운영,수영장,달서구,장기동,대구광역시,달서아트센터수영장,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1 달서아트센터
3,정상운영,수영장,남동구,고잔동,인천광역시,남동수영장,인천광역시 남동구 논현고잔로 173(고잔동),인천광역시 남동구 고잔동 975-1
4,폐업,수영장,용인시,보정동,경기도,돌고래스포츠,경기도 용인시 기흥구 이현로30번길 17-3 (보정동),경기도 용인시 기흥구 보정동 465-4 자람유치원
5,정상운영,수영장,광명시,소하동,경기도,여성비전센터수영장,경기도 광명시 오리로366번길 6(소하동),경기도 광명시 소하동 1267 광명시여성비전센터
6,정상운영,수영장,,장위동,서울특별시,성북청소년센터수영장,서울특별시 성북구 한천로 660-9(장위동),서울특별시 성북구 장위동 135-2 성북청소년수련관
7,정상운영,수영장,강북구,수유동,서울특별시,삼각산문화예술회관수영장(구.강북구민회관수영장),서울특별시 강북구 삼각산로 85 (수유동),서울특별시 강북구 수유동 360-10 강북문화예술회관
8,정상운영,수영장,서구,치평동,광주광역시,(취약시설)일가정양립지원본부 실내수영장,광주광역시 서구 상무자유로 73(치평동),광주광역시 서구 치평동 1162 광주여성발전센터
9,정상운영,수영장,부천시,괴안동,경기도,아쿠아마린키즈스윔(소사점),"경기도 부천시 범안로 54, 그린홈프라자 지층 101호 (괴안동)",경기도 부천시 괴안동 86-4 그린홈프라자 
10,정상운영,수영장,청양군,송방리,충청남도,청양국민체육센터수영장,충청남도 청양군 청양읍 충절로 1204,충청남도 청양군 청양읍 송방리 371 체육관
11,정상운영,수영장,창원시,중리,경상남도,내서스포츠센터수영장,경상남도 창원시 마산회원구 내서읍 호원로 177,경상남도 창원시 마산회원구 내서읍 중리 391-3 내서 스포츠센터
12,정상운영,수영장,홍천군,,강원도,인피니티풀,서면 한치골길 262,강원 홍천군 서면 한치골길 262
13,정상운영,수영장,춘천시,,강원도,엘레시안강촌수영장,춘천시 남산면 서백길 506,강원 춘천시 남산면 서백길 506
14,정상운영,수영장,진도군,초사리,전라남도,쏠비치 호텔앤 리조트 진도 인피니터풀,전라남도 진도군 의신면 송군길 30-40,전라남도 진도군 의신면 초사리 1204
15,정상운영,수영장,영암군,,전라남도,삼락정 랜드,영암군 학산면 학계길 93,
16,정상운영,수영장,수성구,,대구광역시,(주)씨유컴퍼니 아쿠아키즈(범어),대구광역시 수성구 달구벌대로 2491 (범어동),
17,정상운영,수영장,김포시,걸포동,경기도,아이리버 수영장,경기도 김포시 걸포로 152-20(걸포동),경기도 김포시 걸포동 4-52
18,정상운영,수영장,,수유동,서울특별시,강북청소년센터 수영장,서울특별시 강북구 4.19로 74(수유동),서울특별시 강북구 수유동 535-380 시립강북청소년센터
