row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,축구,북구,읍내동,대구광역시,(주)강북주니어축구클럽,대구광역시 북구 대천로7길 14 (읍내동),대구광역시 북구 읍내동 969 
2,정상운영,축구,북구,태전동,대구광역시,하이두축구클럽,대구광역시 북구 학정로 62 (태전동),대구광역시 북구 태전동 817-2
3,정상운영,축구,북구,연경동,대구광역시,아이엔풋살파크,대구광역시 북구 연경지묘로 7 (연경동),대구광역시 북구 연경동 971
4,정상운영,축구,양천구,목동,서울특별시,KBJ 축구 아카데미,서울특별시 양천구 목동중앙로 73 (목동),서울특별시 양천구 목동 762-10
5,정상운영,축구,연수구,송도동,인천광역시,쿨키즈 스포츠 교실,인천광역시 연수구 신송로 164(송도동),인천광역시 연수구 송도동 20-18
6,정상운영,축구,하남시,망월동,경기도,송종국축구교실 하남1호점,경기도 하남시 미사강변대로 212 (망월동),경기도 하남시 망월동 968-1 미사센트럴프라자
7,정상운영,축구,서구,탄방동,대전광역시,천마스포츠센터,대전광역시 서구 유등로669번길 1(탄방동),대전광역시 서구 탄방동 1478-3
8,정상운영,축구,수원시,금곡동,경기도,낫소FC,경기도 수원시 권선구 금호로 83-8(금곡동),경기도 수원시 권선구 금곡동 1141
9,정상운영,축구,시흥시,은행동,경기도,주식회사 제이앤케이 에프씨,경기도 시흥시 은계번영길 19(은행동),경기도 시흥시 은행동 646-8 은계 디스퀘어큐브
10,정상운영,축구,용인시,풍덕천동,경기도,멘토링축구아카데미,경기도 용인시 수지구 문인로13번길 2 (풍덕천동),경기도 용인시 수지구 풍덕천동 672-1 광교대중목욕탕
11,정상운영,축구,용인시,역북동,경기도,(주)코오버코칭코리아,경기도 용인시 처인구 성산로121번길 21(역북동),경기도 용인시 처인구 역북동 205-18
12,정상운영,축구장,이천시,중리동,경기도,이천공설운동장 축구장,경기도 이천시 서희로 11(중리동),경기도 이천시 중리동 449
13,정상운영,축구,김포시,운양동,경기도,제이엔케이 축구교실,경기도 김포시 김포한강1로 230(운양동),경기도 김포시 운양동 1306-6
