row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,테니스장,밀양시,교동,경상남도,밀양스포츠센터 테니스장,경상남도 밀양시 시청로 28 (교동),경상남도 밀양시 교동 1121-3 미리벌관
2,정상운영,테니스장,송파구,방이동,서울특별시,올림픽공원 테니스경기장,서울특별시 송파구 올림픽로 424 (방이동),
3,정상운영,테니스장,화성시,진안동,경기도,진안공공공지 테니스장,경기도 화성시 병점중앙로 214-58 (진안동),경기도 화성시 진안동 121-2
4,정상운영,테니스장,화성시,반송동,경기도,센트럴파크 테니스장,경기도 화성시 동탄공원로1길 26-23(반송동),경기도 화성시 반송동 59
5,정상운영,테니스장,화성시,석우동,경기도,테니스장(예당 임시체육시설),경기도 화성시 노작로 226-9 (석우동),경기도 화성시 석우동 60 동탄보건지소
6,정상운영,테니스장,화성시,영천동,경기도,치동천체육공원 테니스장,경기도 화성시 동탄순환대로29길 38(영천동),경기도 화성시 영천동 670-2
7,정상운영,테니스장,정선군,애산리,강원도,정선종합경기장 테니스장,강원도 정선군 정선읍 애산로 60,강원도 정선군 정선읍 애산리 768 정선종합경기장 정선체육관
8,정상운영,테니스장,시흥시,대야동,경기도,대야동 테니스장,경기도 시흥시 은행로 246 (대야동),
9,정상운영,테니스장,시흥시,매화동,경기도,매화1 체육공원 테니스장,경기도 시흥시 수인로2910번길 38(매화동),경기도 시흥시 매화동 151 매화체육공원
10,정상운영,테니스장,시흥시,거모동,경기도,거모동 체육시설(테니스),경기도 시흥시 군자로534번길 19 (거모동),
11,정상운영,테니스장,창녕군,남지리,경상남도,남지테니스장,경상남도 창녕군 남지읍 낙동로 429,경상남도 창녕군 남지읍 남지리 723 남지초등학교
12,정상운영,테니스장,익산시,,전라북도,금마다목적체육관테니스장,,
13,정상운영,테니스장,음성군,오향리,충청북도,감곡생활체육공원 테니스장,충청북도 음성군 감곡면 감문1길 20,충청북도 음성군 감곡면 오향리 1188
14,정상운영,테니스장,양산시,범어리,경상남도,(테니스장-08) 양산시립2테니스장,경남 양산시 물금읍 범어리 2822,경남 양산시 물금읍 범어리 2822
15,정상운영,테니스장,시흥시,대야동,경기도,대야배수지(테니스장),경기도 시흥시 소래산길 37 (대야동),경기도 시흥시 대야동 332-80
16,정상운영,테니스장,시흥시,포동,경기도,포동 생활체육공원(테니스장),경기도 시흥시 시흥대로789번길 14-3 (포동),
17,정상운영,테니스장,시흥시,은행동,경기도,비둘기공원테니스장,경기도 시흥시 대은로 16-29 (은행동),
18,정상운영,테니스장,시흥시,능곡동,경기도,능곡동 테니스장,경기도 시흥시 목실길 24 (능곡동),
19,정상운영,테니스장,시흥시,정왕동,경기도,배곧테니스장,"경기도 시흥시 배곧4로 81-29 (정왕동, 배곧센텀베이2차)",경기도 시흥시 정왕동 1772-21 배곧센텀베이2차
20,정상운영,테니스장,시흥시,정왕동,경기도,정왕동 체육공원(테니스장),경기도 시흥시 역전로 50 (정왕동),
21,정상운영,테니스장,시흥시,정왕동,경기도,소망공원테니스장,경기 시흥시 정왕동 1368,경기 시흥시 정왕동 1368
22,정상운영,테니스장,시흥시,정왕동,경기도,희망공원테니스장,경기도 시흥시 군자천로131번길 64 (정왕동),
23,정상운영,테니스장,봉화군,해저리,경상북도,복합스포츠단지 테니스장,경상북도 봉화군 봉화읍 봉화로 1111-103,경상북도 봉화군 봉화읍 해저리 산4-18
24,정상운영,테니스장,하동군,병천리,경상남도,옥종다목적생활공원 실내테니스장,경상남도 하동군 옥종면 옥종중앙길 120,경상남도 하동군 옥종면 병천리 484-1
25,정상운영,테니스장,하동군,,경상남도,수변공원(섬진강)테니스장,하동읍 광평리 63-2,
26,정상운영,테니스장,의정부시,신곡동,경기도,송산배수지테니스장,경기도 의정부시 부용로214번길 51(신곡동),경기도 의정부시 신곡동 53-464
27,정상운영,테니스장,송파구,방이동,서울특별시,올림픽공원 실내테니스장,서울특별시 송파구 올림픽로 424 (방이동),
28,폐업,테니스장,,장동,대구광역시,성서소각장테니스장,대구광역시 달서구 성서공단로 257(장동),대구광역시 달서구 장동 306-71
29,정상운영,테니스장,중구,운남동,인천광역시,송산배수지 상부 테니스장,,인천 중구 운남동 1640-8
30,정상운영,테니스장,양산시,평산동,경상남도,(테니스장-03) 웅상체육공원,경상남도 양산시 배움터길 60-19(평산동),경상남도 양산시 평산동 283 웅상체육공원
31,정상운영,테니스장,봉화군,석포리,경상북도,석포테니스장,경상북도 봉화군 석포면 석포로 170-1 (영풍아파트),경상북도 봉화군 석포면 석포리 460 영풍아파트
32,정상운영,테니스장,양산시,초산리,경상남도,(테니스장-06) 삼수권역체육공원,경상남도 양산시 하북면 충렬로 1699,경상남도 양산시 하북면 초산리 163
33,정상운영,테니스장,양산시,북부동,경상남도,(테니스장-01) 양산종합운동장,경상남도 양산시 양산대로 849 (북부동),경상남도 양산시 북부동 533 양산종합운동장
34,정상운영,테니스장,봉화군,현동리,경상북도,소천테니스장,,경북 봉화군 소천면 현동리 1136
35,정상운영,테니스장,양산시,삼호동,경상남도,(테니스장-04) 서창운동장,경상남도 양산시 대운9길 16-85(삼호동),경상남도 양산시 삼호동 157
36,정상운영,테니스장,양산시,내송리,경상남도,(테니스장-10) 삽량체육공원,경상남도 양산시 동면 내송로 21[*미고시],경상남도 양산시 동면 내송리 산70-8
37,정상운영,테니스장,양산시,금산리,경상남도,(테니스장-02) 수질정화공원,경상남도 양산시 동면 강변로 54,경상남도 양산시 동면 금산리 1216-27
38,정상운영,테니스장,양산시,지산리,경상남도,(테니스장-07) 하북지산,경상남도 양산시 하북면 지내마을길 18,경상남도 양산시 하북면 지산리 46-1 지내마을회관
39,정상운영,테니스장,화성시,,경기도,화성시청 테니스장,경기도 화성시 동탄대로47번길 18(장지동),경기도 화성시 장지동 164-5
40,정상운영,테니스장,수원시,송산동,경기도,화산체육공원,경기도 화성시 태안로 263 (송산동),
41,정상운영,테니스장,오산시,세교동,경기도,세교2 실외테니스장,경기도 오산시 수목원로 541(세교동),경기도 오산시 세교동 627
42,정상운영,테니스장,화성시,,경기도,테니스장(동학산공원(14호)),화성시 석우동 4,화성시 석우동 4
43,정상운영,테니스장,화성시,,경기도,테니스장(서신생활체육시설),화성시 서신면 매화리 276-3,화성시 서신면 매화리 276-3
44,정상운영,테니스장,강화군,,인천광역시,강화클럽 테니스장,인천 강화군 강화읍 용정리 921-2,인천 강화군 강화읍 용정리 921-2
45,정상운영,테니스장,화성시,,경기도,테니스장(진안공공공지),화성시 진안동 933 ,화성시 진안동 933 
46,정상운영,테니스장,화성시,배양동,경기도,야생초공원(테니스장),경기도 화성시 융건로 105 (배양동),경기도 화성시 배양동 69-272
47,정상운영,테니스장,화성시,기안동,경기도,해피트리공원(테니스장),경기도 화성시 효행로291번길 24 (기안동),경기도 화성시 기안동 910 신일해피트리아파트
48,정상운영,테니스장,화성시,,경기도,테니스장(한화 바이오밸리),화성시 마도면 청원리 1249,화성시 마도면 청원리 1249
49,정상운영,테니스장,강화군,용정리,인천광역시,고인돌클럽 테니스장,인천광역시 강화군 강화읍 해안북로 155,인천광역시 강화군 강화읍 용정리 6-8 고인돌테니스장
50,정상운영,테니스장,강화군,온수리,인천광역시,강남 테니스장,인천광역시 강화군 길상면 길상로 244,인천광역시 강화군 길상면 온수리 605-26
51,정상운영,테니스장,강화군,,인천광역시,교동테니스장,,인천 강화군 교동면 상용리 876-11
52,정상운영,테니스장,화성시,,경기도,테니스장(장안남산체육공원),화성시 장안면 사랑리 2-4,화성시 장안면 사랑리 2-4
53,정상운영,테니스장,화성시,,경기도,테니스장(조암 공공하수처리장),화성시 우정읍 화산리 194,화성시 우정읍 화산리 194
54,정상운영,테니스장,강화군,,인천광역시,매음리 테니스장,,인천 강화군 삼산면 매음리 265-7
55,정상운영,테니스장,화성시,,경기도,테니스장(동탄1호체육공원),화성시 영천동 670-2,화성시 영천동 670-2
56,정상운영,테니스장,화성시,,경기도,테니스장(도원체육공원),화성시 향남읍 행정리 478 ,화성시 향남읍 행정리 478 
57,정상운영,테니스장,평택시,숙성리,경기도,오성 체육시설 테니스장,경기도 평택시 오성면 숙성시장길 54-7,
58,정상운영,테니스장,평택시,현화리,경기도,안중 학현근린공원 테니스장,경기도 평택시 안중읍 서동대로 1489,
59,정상운영,테니스장,평택시,만호리,경기도,포승 만도체육시설 테니스장,경기도 평택시 포승읍 연암길 46 (만도아파트),
60,정상운영,테니스장,화성시,,경기도,테니스장(동탄센트럴파크),화성시 반송동 59  ,화성시 반송동 59  
61,정상운영,테니스장,화성시,,경기도,테니스장(사강리 동네 체육시설),"화성시 송산면 사강리 365-25, 357-4","화성시 송산면 사강리 365-25, 357-4"
62,정상운영,테니스장,서구,심곡동,인천광역시,청사2부지 테니스장,인천광역시 서구 서곶로 307 (심곡동),
63,정상운영,테니스장,북구,상안동,울산광역시,상안테니스장,울산광역시 북구 농서로 9-1 (상안동),울산광역시 북구 상안동  26-2
64,정상운영,테니스장,서천군,성주리,충청남도,장항테니스장,충청남도 서천군 장항읍 성주길16번길 10-6,
65,정상운영,테니스장,강릉시,홍제동,강원도,시청테니스장,강원도 강릉시 강릉대로 33 (홍제동),강원도 강릉시 홍제동  1001 강릉시청
66,정상운영,테니스장,,가좌동,인천광역시,가좌테니스장,인천광역시 서구 가좌로11번길 7 (가좌동),
67,정상운영,테니스장,광주시,중대동,경기도,중대 테니스장,경기도 광주시 순암로 175 (중대동),경기도 광주시 중대동  5-4
68,정상운영,테니스장,광주시,유정리,경기도,도척그린공원테니스장,경기도 광주시 도척면 도척로 690,경기도 광주시 도척면 유정리 211-5
