row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,37.6238456,골프,강북구,미아동,127.0274881,서울특별시,아크 골프 스튜디오,서울특별시 강북구 도봉로 168(미아동),서울특별시 강북구 미아동 126-23 우성빌딩
2,정상운영,,골프,마포구,상암동,,서울특별시,상암스크린골프존,"서울특별시 마포구 월드컵북로 434 (상암동, 상암 IT Tower)",서울특별시 마포구 상암동 1590 B4-4 상암IT타워 지1층 B105~B107 
3,정상운영,,골프,수성구,지산동,,대구광역시,K스크린골프,"대구광역시 수성구 동대구로 30, 2층 (지산동)",대구광역시 수성구 지산동 1053 2층 
4,폐업,37.52468681,골프,강남구,청담동,127.0400876,서울특별시,비온 골프스튜디오,서울특별시 강남구 선릉로 818 (청담동),서울특별시 강남구 청담동 85-4 디자이너클럽
5,폐업,37.47351134,골프,성남시,창곡동,127.1500033,경기도,골프존파크 위례랜드마크점,경기도 성남시 수정구 위례동로 153 (창곡동),
6,정상운영,35.2129322,골프,동래구,온천동,129.0679615,부산광역시,JSM 스크린골프연습장,부산광역시 동래구 금정마을로 135-11(온천동),부산광역시 동래구 온천동 871-95 제이에스엠빌딩
7,정상운영,37.59767092,골프,김포시,풍무동,126.7211123,경기도,풍무프렌즈스크린,경기도 김포시 풍무로 20(풍무동),경기도 김포시 풍무동 595
8,정상운영,,골프,동해시,,,강원도,㈜서도단봉골프랜드 스크린,강원도 동해시 강원남부로 4652 (단봉동),강원도 동해시 단봉동 451-1 
9,정상운영,37.28666965,골프,수원시,이의동,127.0554484,경기도,에이알골프아카데미,경기도 수원시 영통구 도청로 10 (이의동),경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티
10,정상운영,37.57263417,골프장,서구,백석동,126.6492381,인천광역시,수도권매립지관리공사 드림파크CC,인천광역시 서구 거월로 61 (백석동),인천광역시 서구 백석동 58 수도권매립지공사
11,정상운영,,골프,서구,가정동,,인천광역시,골프존 파크 가정 루원시티점,"인천광역시 서구 봉오재3로94번길 11, MK타워 702~704,707~709호 (가정동)",인천광역시 서구 가정동 618-5 MK타워 
12,정상운영,37.50610784,골프,부천시,상동,126.7576792,경기도,스타골프존,경기도 부천시 길주로 137 (상동),경기도 부천시 상동  538-4 상록그린힐빌딩
13,정상운영,35.20729266,골프,북구,신용동,126.8648589,광주광역시,골프존 파크 신용DS점,광주광역시 북구 첨단연신로108번길 4(신용동),광주광역시 북구 신용동 859
14,정상운영,36.32799678,골프,동구,용운동,127.466215,대전광역시,용운 탑스크린 골프,대전광역시 동구 동부로 167(용운동),대전광역시 동구 용운동 274-2
