row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,37.35826956,배드민턴,원주시,단계동,127.9321963,강원도,원주배드민턴체육관,강원도 원주시 원문로118번길 41 (단계동),강원도 원주시 단계동 105-7
2,정상운영,35.19419451,배드민턴,북구,,129.0053031,부산광역시,북구 배드민턴,부산광역시 북구 시랑로132번길 88(구포동),부산광역시 북구 구포동 870 부산과학기술대학교
3,정상운영,37.424311,배드민턴,광명시,일직동,126.88278,경기도,윌리짐,경기도 광명시 일직로 17(일직동),"경기도 광명시 일직동 500 이케아광명점,롯데아울렛"
4,정상운영,0,배드민턴,아산시,,0,충청남도,스타플레이12 탕정점,충청남도 아산시 탕정면 탕정면로 141-13,충청남도 아산시 탕정면 갈산리 57-8
5,정상운영,36.99347346,배드민턴,안성시,승두리,127.1733947,경기도,배드민턴 매니아 전용구장,경기도 안성시 공도읍 효자비길 46,경기도 안성시 공도읍 승두리 29-9
6,정상운영,0,배드민턴,달성군,,0,대구광역시,콕콕배드민턴전용구장,대구광역시 달성군 옥포읍 강림2길 15-2,대구광역시 달성군 옥포읍 강림리 579
7,정상운영,0,배드민턴,동구,,0,대전광역시,스카이 유소년 스포츠센터,대전광역시 동구 산서로 1613(대별동),대전광역시 동구 대별동 124-1
8,정상운영,0,배드민턴,원주시,,0,강원도,케이런 스포츠 무역,강원도 원주시 섭재삼보길 71(관설동),강원도 원주시 관설동 484
9,정상운영,37.11481872,배드민턴,화성시,,126.9809222,경기도,어라운드스포츠,경기도 화성시 양감면 초록로 720-9,경기도 화성시 양감면 송산리 307-16
10,정상운영,36.53618756,배드민턴,세종시,수산리,127.2337173,세종특별자치시,키움운동발달센터(골든샤크),세종특별자치시 연기면 조뱅이길 76-19,세종특별자치시 연기면 수산리 90-2
11,정상운영,37.39253502,배드민턴,연수구,,126.6479941,인천광역시,예스 스포츠 아카데미,"인천광역시 연수구 해돋이로 107(송도동, 송도 더샵 퍼스트월드)",인천광역시 연수구 송도동 4-1 송도 더샵 퍼스트월드
12,정상운영,36.60131047,배드민턴,세종시,침산리,127.2890258,세종특별자치시,민턴스케치,세종특별자치시 조치원읍 문화6길 1,세종특별자치시 조치원읍 침산리 280-2
13,정상운영,37.69669767,배드민턴,고양시,,126.8193941,경기도,리얼 배드민턴 센터,경기도 고양시 일산동구 견달산로369번길 57(문봉동),경기도 고양시 일산동구 문봉동 263
14,정상운영,37.37145729,배드민턴,광주시,,127.2240153,경기도,균스포츠,경기도 광주시 오포안로 418(고산동),경기도 광주시 고산동 290
15,정상운영,37.76214697,배드민턴,강화군,신당리,126.4829042,인천광역시,제이제이스포츠,인천광역시 강화군 송해면 대월로 287,인천광역시 강화군 송해면 신당리 572-2
16,정상운영,34.95900158,배드민턴,순천시,,127.5124663,전라남도,라이언 스포츠,전라남도 순천시 운동1길 28 (조례동),전라남도 순천시 조례동 1429
17,정상운영,0,배드민턴,하남시,,0,경기도,스킬턴,경기도 하남시 서하남로43번길 105 (감북동),경기도 하남시 감북동 227-1
