row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,37.42662787,유도,연수구,옥련동,126.6451787,인천광역시,김상현 유도 GYM,인천광역시 연수구 독배로 68 (옥련동),인천광역시 연수구 옥련동 199-3
2,정상운영,37.39942055,유도,안양시,안양동,126.9174692,경기도,미스터샤크멀티짐 안양유도체육관,경기도 안양시 만안구 양화로28번길 89 (안양동),경기도 안양시 만안구 안양동 695-42
3,정상운영,37.29951766,유도,수원시,정자동,126.9908506,경기도,화랑유도관,경기도 수원시 장안구 대평로 132 (정자동),경기도 수원시 장안구 정자동 336-3 본가한정식
4,정상운영,0,유도,영천시,,0,경상북도,파이널유도짐,경상북도 영천시 시청남길 6(문외동),경상북도 영천시 문외동 40-1
5,정상운영,36.64799455,유도,홍성군,,126.6755939,충청남도,홍성유도관 내포본관,충청남도 홍성군 홍북읍 청사로48번길 10-1,충청남도 홍성군 홍북읍 신경리 1201 태경프라자
6,정상운영,37.24610249,유도,수원시,신동,127.0441308,경기도,신동 유도관,경기도 수원시 영통구 권선로908번길 63(신동),경기도 수원시 영통구 신동 938-3
7,정상운영,37.75522829,유도,파주시,금촌동,126.7750297,경기도,경일 유도관,경기도 파주시 황골로 58 (금촌동),경기도 파주시 금촌동 802-5 국자감보습학원
8,정상운영,,유도,순천시,,,전라남도,순천한국유도관특수체육(1층),"전라남도 순천시 조례못등길 13, 상가동 2층 204호 (조례동, 부영8차아파트)",전라남도 순천시 조례동 1609 부영8차아파트 
9,정상운영,34.94794863,유도,사천시,,128.0834016,경상남도,코리아 유도 멀티짐,경상남도 사천시 용강양계2길 3(용강동),경상남도 사천시 용강동 563-1
10,정상운영,,유도,관악구,,,서울특별시,엠더블유 유도&주짓수 멀티짐,"서울특별시 관악구 양녕로 13, 3층 (봉천동)",서울특별시 관악구 봉천동 911-13 
11,정상운영,37.72878761,유도,의정부시,,127.1101742,경기도,민앤마이노 엠케이(MK) 유도킁럽,경기도 의정부시 월유로 16(산곡동),경기도 의정부시 산곡동 688-5 GS프라자
12,정상운영,36.34627546,유도,서구,탄방동,127.3942549,대전광역시,탄방유도관,대전광역시 서구 탄방로7번길 71(탄방동),대전광역시 서구 탄방동 1010 다함빌딩
13,폐업,35.91415628,유도,경산시,,128.8192881,경상북도,그린유도멀티짐,경상북도 경산시 하양읍 하양로 111,경상북도 경산시 하양읍 금락리 20-1
14,정상운영,35.17003659,유도,김해시,율하동,128.8123711,경상남도,김해유도관 율하점,경상남도 김해시 율하3로 15 (율하동),경상남도 김해시 율하동 1341-2
15,정상운영,,유도,수원시,망포동,,경기도,조형수 유도관,"경기도 수원시 영통구 태장로 81, 망포동 e-타운ll 3층 307,307-1,308호 (망포동)",경기도 수원시 영통구 망포동 382-3 망포동 e-타운ll 
16,정상운영,37.65064443,유도,김포시,구래동,126.6332231,경기도,청룡유도체육관,경기도 김포시 김포한강4로420번길 88 (구래동),경기도 김포시 구래동 6874-23
17,정상운영,37.40726021,유도,연수구,동춘동,126.6710389,인천광역시,동춘RU유도GYM,인천광역시 연수구 앵고개로254번길 23(동춘동),인천광역시 연수구 동춘동 934-8
18,정상운영,0,유도,수원시,,0,경기도,김재범 유도관,경기도 수원시 영통구 도청로17번길 40 (이의동),경기도 수원시 영통구 이의동 1341-2
