row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,35.82357808,인공암벽장,달서구,월성동,128.5273188,대구광역시,초크업 클라이밍 월성점,대구광역시 달서구 상원로 184-8(월성동),대구광역시 달서구 월성동 1217-1
2,정상운영,36.33949346,인공암벽장,서구,괴정동,127.3751411,대전광역시,대전 클라이밍 센터,대전광역시 서구 갈마로 163(괴정동),대전광역시 서구 괴정동 128-9
3,정상운영,37.27671852,인공암벽장,수원시,인계동,127.0308896,경기도,킹콩클라이밍,경기도 수원시 팔달구 경수대로 572(인계동),경기도 수원시 팔달구 인계동 942
4,정상운영,37.28813791,인공암벽장,수원시,우만동,127.0306172,경기도,수원클라이밍센터,경기도 수원시 팔달구 월드컵로357번길 23-18(우만동),경기도 수원시 팔달구 우만동 483-5 송희아트
5,정상운영,0,인공암벽장,북구,,0,광주광역시,광주실내암벽,광주광역시 북구 하남대로 828-1(운암동),광주광역시 북구 운암동 1597
6,정상운영,,인공암벽장,목포시,,,전라남도,부주산국제스포츠클라이밍센터,,
7,정상운영,35.97953526,인공암벽장,군산시,소룡동,126.6877159,전라북도,인공암벽장,전라북도 군산시 솔꼬지1길 46 (소룡동),전라북도 군산시 소룡동  1071-3 군산시민공암장
8,정상운영,35.21097921,인공암벽장,금정구,,129.0888677,부산광역시,인공암벽장,,명륜동 146
9,폐업,37.33876324,인공암벽장,군포시,부곡동,126.9364804,경기도,군포국민체육센터 실내암벽장,경기도 군포시 군포로 339(부곡동),경기도 군포시 부곡동 1226 군포국민체육센터
10,정상운영,36.13969402,인공암벽장,김천시,삼락동,128.086502,경상북도,김천인공암벽장,경상북도 김천시 운동장길 1(삼락동),경상북도 김천시 삼락동 488-1 김천종합스포츠타운
11,정상운영,35.15618338,인공암벽장,서구,치평동,126.8393256,광주광역시,상무 인공암벽장,광주광역시 서구 상무시민로 3 (치평동),광주광역시 서구 치평동 1163-2 세계광엑스포주제관
12,정상운영,37.61513315,인공암벽장,중랑구,신내동,127.09377,서울특별시,몽키즈 클라이밍,서울특별시 중랑구 신내로17길 39(신내동),서울특별시 중랑구 신내동 654 진로아파트
13,정상운영,35.51689935,인공암벽장,남구,선암동,129.3224892,울산광역시,선암인공암벽장,울산광역시 남구 선암호수길 104 (선암동),울산광역시 남구 선암동 476-2
14,정상운영,37.50256698,인공암벽장,부천시,춘의동,126.7990239,경기도,부천종합운동장 인공암벽장,경기도 부천시 소사로 482 (춘의동),"경기도 부천시 춘의동 8 부천종합운동장,국궁장,체육관"
15,정상운영,37.48820974,인공암벽장,부천시,상동,126.7635448,경기도,부천클라이밍센터,경기도 부천시 부일로 300(상동),경기도 부천시 상동 326-15
16,정상운영,37.15869492,인공암벽장,오산시,오산동,127.0756551,경기도,오산스포츠센터인공암벽장,경기도 오산시 경기동로 33 (오산동),경기도 오산시 오산동 40 오산스포츠센터
17,정상운영,37.67998391,인공암벽장,고양시,대화동,126.7404822,경기도,인공암벽등반경기장,경기도 고양시 일산서구 중앙로 1601 (대화동),
18,정상운영,37.20375582,인공암벽장,화성시,반송동,127.0612102,경기도,센트럴파크 인공암벽장,경기도 화성시 동탄공원로1길 26-23(반송동),경기도 화성시 반송동 59
19,정상운영,37.70910325,인공암벽장,홍천군,태학리,127.9061773,강원도,홍천스포츠클라이밍센터,강원도 홍천군 홍천읍 태학여내길 31-1,강원도 홍천군 홍천읍 태학리 145-12
20,정상운영,36.7726103,인공암벽장,아산시,방축동,126.9831399,충청남도,신정호 인공암벽장,충청남도 아산시 신정로 616 (방축동),충청남도 아산시 방축동 5 신정호공원
21,정상운영,35.43086752,인공암벽장,남원시,월락동,127.4054607,전라북도,인공암벽장,전라북도 남원시 충정로 341 (월락동),전라북도 남원시 월락동  248 춘향골체육공원
22,정상운영,35.86479558,인공암벽장,경주시,손곡동,129.2812982,경상북도,경주베이스볼파크 인공암벽장,경상북도 경주시 천북남로 357 (손곡동),경상북도 경주시 손곡동 519-1
23,정상운영,37.48257884,인공암벽장,울릉군,도동리,130.9011592,경상북도,인공암벽장,경상북도 울릉군 울릉읍 약수터길 71,경상북도 울릉군 울릉읍 도동리 584-8
24,정상운영,34.94318911,인공암벽장,사천시,용강동,128.0875687,경상남도,인공암벽장,경상남도 사천시 주공로 32-1 (용강동),
25,정상운영,35.09039106,인공암벽장,사천시,정의리,128.095849,경상남도,실내인공암벽장,경상남도 사천시 사천읍 구암두문로 85,
26,정상운영,34.88273388,인공암벽장,거제시,고현동,128.6163077,경상남도,인공암벽장,경상남도 거제시 계룡로11길 35 (고현동),경상남도 거제시 고현동 910 거제시체육관
27,정상운영,35.40912234,인공암벽장,산청군,옥산리,127.8730871,경상남도,인공암벽장,,경남 산청군 산청읍 옥산리 725
28,정상운영,33.49506215,인공암벽장,,오라일동,126.5187975,제주특별자치도,인공암벽장,제주특별자치도 제주시 서광로2길 24(오라일동),제주특별자치도 제주시 오라일동 1165
29,정상운영,,인공암벽장,익산시,,,전라북도,인공암벽장,,
30,정상운영,37.27880855,인공암벽장,이천시,,127.4263229,경기도,설봉공원 인공암벽등반장,이천시 관고동 375-4외2,
31,정상운영,37.43159995,인공암벽장,성남시,,127.1380832,경기도,인공암벽(실외),중원구 제일로 60,경기 성남시 중원구 제일로 60
32,정상운영,,인공암벽장,서구,,,광주광역시,인공암벽장,,
33,정상운영,35.34851958,인공암벽장,양산시,북부동,129.0354802,경상남도,(인공암벽장-01) 양산종합운동장,경상남도 양산시 양산대로 849(북부동),경상남도 양산시 북부동 533 양산종합운동장
34,정상운영,0,인공암벽장,서구,,0,광주광역시,클라임라운지,광주광역시 서구 금화로383번길 10(화정동),광주광역시 서구 화정동 965
35,정상운영,37.76227626,인공암벽장,강릉시,교동,128.8771799,강원도,강릉 클라이밍,강원도 강릉시 정원로 42(교동),강원도 강릉시 교동 1889-5
36,정상운영,37.36025968,인공암벽장,광주시,,127.1474283,경기도,티클라이밍,경기도 광주시 신현로 4(신현동),경기도 광주시 신현동 724-3 태성빌딩
37,정상운영,35.8677837,인공암벽장,동구,신서동,128.7243621,대구광역시,동구 펀앤펀클라이밍센터,대구광역시 동구 안심로 366(신서동),대구광역시 동구 신서동 526-1
38,정상운영,0,인공암벽장,성남시,,0,경기도,비클라이밍,경기도 성남시 분당구 백현로144번길 29-1 (정자동),경기도 성남시 분당구 정자동 38-5
39,정상운영,37.57789224,인공암벽장,서대문구,북가좌동,126.9102045,서울특별시,몽키즈클라이밍 북가좌점,서울특별시 서대문구 응암로 54 (북가좌동),서울특별시 서대문구 북가좌동 306-17 서부프라자빌딩
40,정상운영,37.68948495,인공암벽장,고양시,덕이동,126.7570113,경기도,하이프렉스,경기도 고양시 일산서구 덕이로 20(덕이동),경기도 고양시 일산서구 덕이동 219-8 양우씨네플렉스
41,정상운영,37.59584844,인공암벽장,중랑구,상봉동,127.087934,서울특별시,크래커클라이밍,"서울특별시 중랑구 면목로92길 37-4 (상봉동, 다온 APT)",서울특별시 중랑구 상봉동 102 다온 APT
42,정상운영,35.8890485,인공암벽장,북구,침산동,128.5858427,대구광역시,초크업 클라이밍 침산점,대구광역시 북구 침산남로 92(침산동),대구광역시 북구 침산동 430-7
43,정상운영,36.99158813,인공암벽장,평택시,합정동,127.0936922,경기도,트윈 클라이밍짐,경기도 평택시 평택3로 30 (합정동),경기도 평택시 합정동 746-9
44,정상운영,35.02347189,인공암벽장,나주시,빛가람동,126.787307,전라남도,빛가람 클라이밍 짐,전라남도 나주시 우정로 72(빛가람동),전라남도 나주시 빛가람동 196-4 더클래스빌딩
45,정상운영,37.55656393,인공암벽장,서대문구,창천동,126.9403281,서울특별시,PEAKERS,서울특별시 서대문구 신촌로 129 (창천동),서울특별시 서대문구 창천동 20-25 아트레온
46,정상운영,35.8550207,인공암벽장,경주시,,129.21846,경상북도,경주클라이밍센터,경상북도 경주시 원화로 387(황성동),경상북도 경주시 황성동 1053-54
47,정상운영,37.00348585,인공암벽장,안성시,만정리,127.1765591,경기도,클라임팩토리,경기도 안성시 공도읍 공도로 159,경기도 안성시 공도읍 만정리 279-35
48,정상운영,0,인공암벽장,서구,,0,대구광역시,볼더라운지 플립 대구점,대구광역시 서구 달성공원로 9-2(비산동),대구광역시 서구 비산동 156-23
49,정상운영,35.86742833,인공암벽장,경주시,,129.216985,경상북도,설우클라이밍,경상북도 경주시 황성로 59(황성동),경상북도 경주시 황성동 277-4
50,정상운영,,인공암벽장,전주시,,,전라북도,인공암벽장,,
51,정상운영,0,인공암벽장,여수시,,0,전라남도,플레이스포츠센터,"전라남도 여수시 학동2길 22(학동, 프라임시티)",전라남도 여수시 학동 39-13 프라임시티
52,정상운영,37.39664914,인공암벽장,안양시,,126.9669642,경기도,펀클라임,경기도 안양시 동안구 시민대로327번길 6(관양동),경기도 안양시 동안구 관양동 1019-5 W에이스타워
53,정상운영,35.1958421,인공암벽장,동래구,,129.0603713,부산광역시,죠스클라이밍,부산광역시 동래구 사직로 48(사직동),부산광역시 동래구 사직동 92-8 호영빌딩
54,정상운영,35.21542008,인공암벽장,북구,덕천동,129.0105477,부산광역시,인공암벽장,부산광역시 북구 만덕대로65번길 83 (덕천동),부산광역시 북구 덕천동 457-38
55,정상운영,35.12612252,인공암벽장,남구,봉선동,126.9152476,광주광역시,레드원클라이밍,광주광역시 남구 봉선2로 81(봉선동),광주광역시 남구 봉선동 156
56,정상운영,36.52281247,인공암벽장,세종시,도담동,127.2584048,세종특별자치시,아름클라이밍,"세종특별자치시  다솜1로 220 (도담동, 도램마을 5단지)",
57,정상운영,37.39584052,인공암벽장,성남시,판교동,127.0907624,경기도,판교인공암벽장,경기도 성남시 분당구 판교공원로4길 27(판교동),"경기도 성남시 분당구 판교동 553 분당판교청소년수련관, 판교도서관"
58,정상운영,36.49787653,인공암벽장,성남시,성남동,127.265434,경기도,성남종합스포츠센터 인공암벽장,경기도 성남시 중원구 제일로 60 (성남동),
59,정상운영,,인공암벽장,목포시,,,전라남도,목포국제스포츠클라이밍센터,,
60,정상운영,36.49787653,인공암벽장,고양시,,127.265434,경기도,일산클라이밍센터,"경기도 고양시 일산동구 중앙로 1123, 228,229,230호 (백석동, 흰돌마을2단지아파트)",경기도 고양시 일산동구 백석동 1351 흰돌마을2단지아파트 
61,정상운영,35.99100372,인공암벽장,,용수동,128.6973478,대구광역시,팔공산인공암벽장,대구광역시 동구 동화사2길 21-7 (용수동),대구광역시 동구 용수동  14-7
62,정상운영,37.39818431,인공암벽장,연수구,송도동,126.6356514,인천광역시,비블럭클라이밍,인천광역시 연수구 아트센터대로 149 (송도동),인천광역시 연수구 송도동 23-1 커낼워크D1 SPRING
63,정상운영,0,인공암벽장,시흥시,,0,경기도,(주)클라임잇,경기도 시흥시 배미골길 24(목감동),경기도 시흥시 목감동 414-2 (주)아이지디
64,정상운영,37.63693054,인공암벽장,강북구,,127.0232816,서울특별시,(주)락랜드,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)",서울특별시 강북구 수유동 740 에피소드 수유 838
65,정상운영,,인공암벽장,북구,,,울산광역시,몽클라이밍센터,울산광역시 북구 당수골2길 43 (호계동),울산광역시 북구 호계동 985-5 
66,정상운영,37.49174101,인공암벽장,양평군,양근리,127.4876822,경기도,인공암벽장(실외),경기도 양평군 양평읍 군청앞길 2,
67,정상운영,36.60294725,인공암벽장,문경시,흥덕동,128.2121779,경상북도,문경국제클라이밍센터,경상북도 문경시 영강공원길 125 (흥덕동),경상북도 문경시 흥덕동 77-2
68,정상운영,,인공암벽장,김해시,,,경상남도,인공암벽장,경상남도 김해시 가야로 245,경상남도 김해시 가야로 245
69,정상운영,,인공암벽장,동해시,,,강원도,인공암벽장,,
70,정상운영,37.20401189,인공암벽장,화성시,,127.0636047,경기도,인공암장(동탄센트럴파크),화성시 반송동 59,화성시 반송동 59
71,정상운영,,인공암벽장,고성군,,,강원도,거진인공암벽장,,
72,정상운영,37.57338396,인공암벽장,중랑구,면목동,127.0909428,서울특별시,중랑스포츠클라이밍 경기장,서울특별시 중랑구 용마산로 250-12(면목동),"서울특별시 중랑구 면목동 산1-4 용마배수지, 용마산돌산공원"
