row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
1,정상운영,체력단련장,중구,무교동,서울특별시,센트럴 피트니스,"서울특별시 중구 무교로 16, 대한체육회 체육회관 (무교동)",서울특별시 중구 무교동 19 대한체육회 체육회관 
2,정상운영,체력단련장,은평구,불광동,서울특별시,랜드짐,"서울특별시 은평구 통일로 780 (불광동, 미성아파트)",서울특별시 은평구 불광동 248 미성아파트 상가 지층 
3,정상운영,체력단련장,중랑구,신내동,서울특별시,신내헬스,"서울특별시 중랑구 신내로 127 (신내동, 신내9단지신내아파트)",서울특별시 중랑구 신내동 657 신내9단지신내아파트
4,폐업,체력단련장,부평구,부평동,인천광역시,핏24 부평모다점,인천광역시 부평구 부평문화로 35 (부평동),인천광역시 부평구 부평동 70-127 모다백화점
5,정상운영,체력단련장,성북구,하월곡동,서울특별시,워너비 짐,서울특별시 성북구 장월로1길 106 (하월곡동),서울특별시 성북구 하월곡동 20-4
6,정상운영,체력단련장,강남구,논현동,서울특별시,펀짐,서울특별시 강남구 봉은사로1길 8 (논현동),서울특별시 강남구 논현동 198-22
7,정상운영,체력단련장,고양시,장항동,경기도,업투 라페스타점,경기도 고양시 일산동구 무궁화로 31-1(장항동),경기도 고양시 일산동구 장항동 735-3 텐폴드프라자
8,정상운영,체력단련장,안양시,관양동,경기도,시너제틱스 by 움직임 S-FIT 범계센터,"경기도 안양시 동안구 시민대로 214, 다운타운빌딩 401호 (호계동)",경기도 안양시 동안구 호계동 1043-1 다운타운빌딩 
9,정상운영,체력단련장,고양시,장항동,경기도,코어짐,경기도 고양시 일산동구 무궁화로 42-28(장항동),경기도 고양시 일산동구 장항동 776 일산프라자
10,정상운영,체력단련장,안양시,안양동,경기도,포인트짐,경기도 안양시 만안구 태평로52번길 47(안양동),경기도 안양시 만안구 안양동 1389-3 덕천디스퀘어
11,정상운영,체력단련장,고양시,백석동,경기도,헬로우짐,경기도 고양시 일산동구 중앙로 1048(백석동),경기도 고양시 일산동구 백석동 1297-2 일산르메이에르프라자
12,정상운영,체력단련장,부평구,부평동,인천광역시,머슬컴퍼니,"인천광역시 부평구 주부토로 112, 4층 (부평동, 삼진빌딩)",인천광역시 부평구 부평동 890-3 
13,정상운영,체력단련장,달서구,감삼동,대구광역시,패러다임 짐,"대구광역시 달서구 호산동로 185, 2층 (호산동)",대구광역시 달서구 호산동 361 
