row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
1,폐업,37.5732856,태권도,동대문구,용두동,127.0317555,서울특별시,정태겸 유아체육체능단,서울특별시 동대문구 무학로26길 16 (용두동),서울특별시 동대문구 용두동 779 신동아아파트
2,정상운영,37.50210486,태권도,영등포구,대림동,126.8961718,서울특별시,건무도장,서울특별시 영등포구 도신로4길 17 (대림동),서울특별시 영등포구 대림동 783-13 용현빌딩
3,정상운영,,태권도,강동구,상일동,,서울특별시,경희대 SKY 태권도장,"서울특별시 강동구 고덕로80길 123, 고덕센트럴 IPARK(A상가) 2층 210-1호 (상일동)",서울특별시 강동구 상일동 513 고덕센트럴 IPARK(A상가) 2층 210-1호 
4,정상운영,37.49969302,태권도,송파구,석촌동,127.1046753,서울특별시,용인대 헬리오 태권도,서울특별시 송파구 송파대로37길 70 (석촌동),서울특별시 송파구 석촌동 254-5
5,정상운영,35.89925404,태권도,북구,복현동,128.6155469,대구광역시,K&P 태권도장,대구광역시 북구 검단로 16 (복현동),대구광역시 북구 복현동  539-17
6,정상운영,35.19978345,태권도,해운대구,반여동,129.1332943,부산광역시,원호체육관,부산광역시 해운대구 재반로256번길 32 (반여동),
7,정상운영,,태권도,김포시,북변동,,경기도,월드클래스 태권도 북변센터 줄넘기 클럽,"경기도 김포시 봉화로 180, 3층 (북변동)",경기도 김포시 북변동 761 
8,정상운영,35.09859607,태권도,강서구,명지동,128.9180045,부산광역시,SPM 태권도,부산광역시 강서구 명지국제8로 229 (명지동),부산광역시 강서구 명지동 3357-1
9,정상운영,37.48675027,태권도,중구,중산동,126.5581434,인천광역시,용인대가온태권도,인천광역시 중구 하늘달빛로 84(중산동),인천광역시 중구 중산동 1875-6
10,정상운영,37.65206372,태권도,고양시,지축동,126.9189971,경기도,바른태권도,경기도 고양시 덕양구 지정로 77(지축동),경기도 고양시 덕양구 지축동 924-6 이준프라자
11,정상운영,36.31294018,태권도,서구,도마동,127.3816211,대전광역시,경희대 이룸 태권도,대전광역시 서구 바탕들3길 26(도마동),대전광역시 서구 도마동 175-13
12,정상운영,37.25523128,태권도,수원시,세류동,127.0183153,경기도,국가대표 SH 태권도,경기도 수원시 권선구 세권로138번길 40(세류동),경기도 수원시 권선구 세류동 1094-18
13,정상운영,37.26893521,태권도,수원시,호매실동,126.9566633,경기도,맥스 점프파이어,경기도 수원시 권선구 금호로 48-8(호매실동),경기도 수원시 권선구 호매실동 395-1
14,정상운영,37.50932522,태권도,하남시,감일동,127.1629694,경기도,태권십 효 태권도,경기도 하남시 신우실로 73(감일동),경기도 하남시 감일동 530-4
15,정상운영,36.49787653,태권도,성남시,,127.265434,경기도,경희대 이루다 태권도장,"경기도 성남시 중원구 금광로 71, 4단지 상가동 2층 (금광동, e편한세상금빛그랑메종)",경기도 성남시 중원구 금광동 1016 e편한세상금빛그랑메종 
16,정상운영,,태권도,포천시,송우리,,경기도,경희대석사 孝 태권도장,경기도 포천시 소흘읍 솔모루로3번길 33,경기도 포천시 소흘읍 송우리 497-3 
17,정상운영,38.03157871,태권도,포천시,장암리,127.3667628,경기도,영 챔피언 태권도,"경기도 포천시 이동면 화동로 2058, 2층",경기도 포천시 이동면 장암리 240-22 
18,폐업,37.4893291,태권도,횡성군,읍하리,127.9850568,강원도,성무체육관,강원도 횡성군 횡성읍 한우로 279-1,
19,폐업,37.48462532,태권도,부평구,부평동,126.7160724,인천광역시,국가대표 창비 효 태권도,인천광역시 부평구 경인로 859 (부평동),
20,폐업,37.5102539,태권도,부평구,산곡동,126.7016246,인천광역시,용인대유비태권도,인천광역시 부평구 마장로361번길 33 (산곡동),인천광역시 부평구 산곡동  26-19
21,정상운영,37.72564329,태권도,의정부시,호원동,127.0491447,경기도,청춘태권도장,경기도 의정부시 회룡로138번길 9(호원동),경기도 의정부시 호원동 423-5
22,정상운영,37.36318451,태권도,성남시,정자동,127.113803,경기도,블랙벨트센터 태권도장,경기도 성남시 분당구 정자로 80(정자동),경기도 성남시 분당구 정자동 126-2 정자프라자
23,정상운영,37.74509409,태권도,의정부시,민락동,127.0993153,경기도,송산태랑태권도,"경기도 의정부시 민락로 211(민락동, 호반베르디움1차)",경기도 의정부시 민락동 847 호반베르디움1차
24,정상운영,,태권도,의정부시,낙양동,,경기도,연세 탑 영어태권도장,"경기도 의정부시 민락로 388, 401호 (낙양동)",경기도 의정부시 낙양동 743-2 401호
