row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_mng_user_telno,faci_nm,faci_road_addr,faci_addr
1,정상운영,35.5056777,테니스장,밀양시,교동,128.744836,경상남도,055-359-5774,밀양스포츠센터 테니스장,경상남도 밀양시 시청로 28 (교동),경상남도 밀양시 교동 1121-3 미리벌관
2,정상운영,37.5136516,테니스장,송파구,방이동,127.1282217,서울특별시,02-410-1322,올림픽공원 테니스경기장,서울특별시 송파구 올림픽로 424 (방이동),
3,정상운영,37.21772965,테니스장,화성시,진안동,127.0319073,경기도,031-3696-273,진안공공공지 테니스장,경기도 화성시 병점중앙로 214-58 (진안동),경기도 화성시 진안동 121-2
4,정상운영,37.20401352,테니스장,화성시,반송동,127.0636027,경기도,031-5189-6188,센트럴파크 테니스장,경기도 화성시 동탄공원로1길 26-23(반송동),경기도 화성시 반송동 59
5,정상운영,37.2067964,테니스장,화성시,석우동,127.0782246,경기도,031-369-6273,테니스장(예당 임시체육시설),경기도 화성시 노작로 226-9 (석우동),경기도 화성시 석우동 60 동탄보건지소
6,정상운영,37.2054715,테니스장,화성시,영천동,127.106524,경기도,031-5189-6188,치동천체육공원 테니스장,경기도 화성시 동탄순환대로29길 38(영천동),경기도 화성시 영천동 670-2
7,정상운영,37.37705836,테니스장,정선군,애산리,128.6747444,강원도,033-560-2768,정선종합경기장 테니스장,강원도 정선군 정선읍 애산로 60,강원도 정선군 정선읍 애산리 768 정선종합경기장 정선체육관
8,정상운영,37.44477124,테니스장,시흥시,대야동,126.7960777,경기도,031-310-3159,대야동 테니스장,경기도 시흥시 은행로 246 (대야동),
9,정상운영,37.41596016,테니스장,시흥시,매화동,126.8227775,경기도,031-310-3159,매화1 체육공원 테니스장,경기도 시흥시 수인로2910번길 38(매화동),경기도 시흥시 매화동 151 매화체육공원
10,정상운영,37.34138527,테니스장,시흥시,거모동,126.7863093,경기도,031-310-3159,거모동 체육시설(테니스),경기도 시흥시 군자로534번길 19 (거모동),
11,정상운영,35.38982126,테니스장,창녕군,남지리,128.471959,경상남도,055-530-1486,남지테니스장,경상남도 창녕군 남지읍 낙동로 429,경상남도 창녕군 남지읍 남지리 723 남지초등학교
12,정상운영,,테니스장,익산시,,,전라북도,,금마다목적체육관테니스장,,
13,정상운영,37.10632999,테니스장,음성군,오향리,127.6486066,충청북도,043-871-2483,감곡생활체육공원 테니스장,충청북도 음성군 감곡면 감문1길 20,충청북도 음성군 감곡면 오향리 1188
14,정상운영,35.32300485,테니스장,양산시,범어리,129.0191764,경상남도,055-392-3403,(테니스장-08) 양산시립2테니스장,경남 양산시 물금읍 범어리 2822,경남 양산시 물금읍 범어리 2822
15,정상운영,37.44971058,테니스장,시흥시,대야동,126.7829186,경기도,031-310-3159,대야배수지(테니스장),경기도 시흥시 소래산길 37 (대야동),경기도 시흥시 대야동 332-80
16,정상운영,37.40557351,테니스장,시흥시,포동,126.7839428,경기도,031-310-3159,포동 생활체육공원(테니스장),경기도 시흥시 시흥대로789번길 14-3 (포동),
17,정상운영,37.44112691,테니스장,시흥시,은행동,126.7936378,경기도,031-310-3159,비둘기공원테니스장,경기도 시흥시 대은로 16-29 (은행동),
18,정상운영,37.37029224,테니스장,시흥시,능곡동,126.8153406,경기도,031-310-3159,능곡동 테니스장,경기도 시흥시 목실길 24 (능곡동),
19,정상운영,37.37621288,테니스장,시흥시,정왕동,126.738448,경기도,031-310-3159,배곧테니스장,"경기도 시흥시 배곧4로 81-29 (정왕동, 배곧센텀베이2차)",경기도 시흥시 정왕동 1772-21 배곧센텀베이2차
20,정상운영,37.33959888,테니스장,시흥시,정왕동,126.7570731,경기도,031-310-3159,정왕동 체육공원(테니스장),경기도 시흥시 역전로 50 (정왕동),
21,정상운영,37.33339952,테니스장,시흥시,정왕동,126.72562,경기도,031-310-3159,소망공원테니스장,경기 시흥시 정왕동 1368,경기 시흥시 정왕동 1368
22,정상운영,37.33593345,테니스장,시흥시,정왕동,126.7150487,경기도,031-310-3159,희망공원테니스장,경기도 시흥시 군자천로131번길 64 (정왕동),
23,정상운영,36.89558377,테니스장,봉화군,해저리,128.7289368,경상북도,054-679-6983,복합스포츠단지 테니스장,경상북도 봉화군 봉화읍 봉화로 1111-103,경상북도 봉화군 봉화읍 해저리 산4-18
24,정상운영,35.1862935,테니스장,하동군,병천리,127.8789541,경상남도,055-880-2384,옥종다목적생활공원 실내테니스장,경상남도 하동군 옥종면 옥종중앙길 120,경상남도 하동군 옥종면 병천리 484-1
25,정상운영,35.05923503,테니스장,하동군,,127.7504185,경상남도,055-880-6443,수변공원(섬진강)테니스장,하동읍 광평리 63-2,
26,정상운영,37.74751876,테니스장,의정부시,신곡동,127.0766386,경기도,031-828-4073,송산배수지테니스장,경기도 의정부시 부용로214번길 51(신곡동),경기도 의정부시 신곡동 53-464
27,정상운영,37.51369666,테니스장,송파구,방이동,127.1282105,서울특별시,02-410-1322,올림픽공원 실내테니스장,서울특별시 송파구 올림픽로 424 (방이동),
28,폐업,35.83628744,테니스장,,장동,128.5122459,대구광역시,053-803-4251,성서소각장테니스장,대구광역시 달서구 성서공단로 257(장동),대구광역시 달서구 장동 306-71
29,정상운영,37.48211007,테니스장,중구,운남동,126.5517455,인천광역시,032-760-7139,송산배수지 상부 테니스장,,인천 중구 운남동 1640-8
30,정상운영,35.37762612,테니스장,양산시,평산동,129.1434299,경상남도,055-392-3403,(테니스장-03) 웅상체육공원,경상남도 양산시 배움터길 60-19(평산동),경상남도 양산시 평산동 283 웅상체육공원
31,정상운영,37.04571617,테니스장,봉화군,석포리,129.0672486,경상북도,054-679-6644,석포테니스장,경상북도 봉화군 석포면 석포로 170-1 (영풍아파트),경상북도 봉화군 석포면 석포리 460 영풍아파트
32,정상운영,35.48427989,테니스장,양산시,초산리,129.0831166,경상남도,055-392-3403,(테니스장-06) 삼수권역체육공원,경상남도 양산시 하북면 충렬로 1699,경상남도 양산시 하북면 초산리 163
33,정상운영,35.34856074,테니스장,양산시,북부동,129.0354974,경상남도,055-392-3404,(테니스장-01) 양산종합운동장,경상남도 양산시 양산대로 849 (북부동),경상남도 양산시 북부동 533 양산종합운동장
34,정상운영,36.94353531,테니스장,봉화군,현동리,129.0050427,경상북도,054-679-6644,소천테니스장,,경북 봉화군 소천면 현동리 1136
