row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
1,정상운영,테니스장,경상남도,밀양시,교동,밀양스포츠센터 테니스장,경상남도 밀양시 시청로 28 (교동),경상남도 밀양시 교동 1121-3 미리벌관,35.5056777,128.744836
2,정상운영,테니스장,서울특별시,송파구,방이동,올림픽공원 테니스경기장,서울특별시 송파구 올림픽로 424 (방이동),,37.5136516,127.1282217
3,정상운영,테니스장,경기도,화성시,진안동,진안공공공지 테니스장,경기도 화성시 병점중앙로 214-58 (진안동),경기도 화성시 진안동 121-2,37.21772965,127.0319073
4,정상운영,테니스장,경기도,화성시,반송동,센트럴파크 테니스장,경기도 화성시 동탄공원로1길 26-23(반송동),경기도 화성시 반송동 59,37.20401352,127.0636027
5,정상운영,테니스장,경기도,화성시,석우동,테니스장(예당 임시체육시설),경기도 화성시 노작로 226-9 (석우동),경기도 화성시 석우동 60 동탄보건지소,37.2067964,127.0782246
6,정상운영,테니스장,경기도,화성시,영천동,치동천체육공원 테니스장,경기도 화성시 동탄순환대로29길 38(영천동),경기도 화성시 영천동 670-2,37.2054715,127.106524
7,정상운영,테니스장,강원도,정선군,애산리,정선종합경기장 테니스장,강원도 정선군 정선읍 애산로 60,강원도 정선군 정선읍 애산리 768 정선종합경기장 정선체육관,37.37705836,128.6747444
8,정상운영,테니스장,경기도,시흥시,대야동,대야동 테니스장,경기도 시흥시 은행로 246 (대야동),,37.44477124,126.7960777
9,정상운영,테니스장,경기도,시흥시,매화동,매화1 체육공원 테니스장,경기도 시흥시 수인로2910번길 38(매화동),경기도 시흥시 매화동 151 매화체육공원,37.41596016,126.8227775
10,정상운영,테니스장,경기도,시흥시,거모동,거모동 체육시설(테니스),경기도 시흥시 군자로534번길 19 (거모동),,37.34138527,126.7863093
11,정상운영,테니스장,경상남도,창녕군,남지리,남지테니스장,경상남도 창녕군 남지읍 낙동로 429,경상남도 창녕군 남지읍 남지리 723 남지초등학교,35.38982126,128.471959
12,정상운영,테니스장,전라북도,익산시,,금마다목적체육관테니스장,,,0,0
13,정상운영,테니스장,충청북도,음성군,오향리,감곡생활체육공원 테니스장,충청북도 음성군 감곡면 감문1길 20,충청북도 음성군 감곡면 오향리 1188,37.10632999,127.6486066
14,정상운영,테니스장,경상남도,양산시,범어리,(테니스장-08) 양산시립2테니스장,경남 양산시 물금읍 범어리 2822,경남 양산시 물금읍 범어리 2822,35.32300485,129.0191764
15,정상운영,테니스장,경기도,시흥시,대야동,대야배수지(테니스장),경기도 시흥시 소래산길 37 (대야동),경기도 시흥시 대야동 332-80,37.44971058,126.7829186
16,정상운영,테니스장,경기도,시흥시,포동,포동 생활체육공원(테니스장),경기도 시흥시 시흥대로789번길 14-3 (포동),,37.40557351,126.7839428
17,정상운영,테니스장,경기도,시흥시,은행동,비둘기공원테니스장,경기도 시흥시 대은로 16-29 (은행동),,37.44112691,126.7936378
18,정상운영,테니스장,경기도,시흥시,능곡동,능곡동 테니스장,경기도 시흥시 목실길 24 (능곡동),,37.37029224,126.8153406
